One Processor: 
Tolerence Level: 0.1
Final Difference Between Grids: 0.0999145
Iteration Count: 2971
Ticks: 639389
Seconds: 0.639389s
[       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0]
[     100][ 94.4877][ 89.0719][  83.839][ 78.8586][ 74.1796][  69.831][ 65.8238][ 62.1556][ 58.8142][ 55.7808][ 53.0336][  50.549][ 48.3036][  46.275][ 44.4419][ 42.7851][ 41.2871][  39.932][ 38.7058][ 37.5959][ 36.5913][ 35.6822][ 34.8598][ 34.1166][ 33.4459][ 32.8417][ 32.2988][ 31.8127][ 31.3793][ 30.9952][ 30.6574][ 30.3632][ 30.1103][  29.897][ 29.7215][ 29.5826][ 29.4793][ 29.4109][ 29.3768][ 29.3768][  29.411][ 29.4794][ 29.5828][ 29.7217][ 29.8972][ 30.1106][ 30.3635][ 30.6577][ 30.9956][ 31.3797][ 31.8131][ 32.2993][ 32.8422][ 33.4464][ 34.1172][ 34.8604][ 35.6827][ 36.5919][ 37.5965][ 38.7064][ 39.9326][ 41.2877][ 42.7857][ 44.4425][ 46.2755][ 48.3042][ 50.5495][ 53.0341][ 55.7813][ 58.8146][  62.156][ 65.8242][ 69.8313][ 74.1799][ 78.8588][ 83.8392][  89.072][ 94.4878][     100]
[     100][ 94.9947][ 90.0636][ 85.2746][ 80.6841][ 76.3349][ 72.2548][ 68.4586][ 64.9498][ 61.7233][ 58.7682][ 56.0693][ 53.6096][ 51.3709][ 49.3352][ 47.4851][ 45.8041][ 44.2769][ 42.8896][ 41.6294][ 40.4848][ 39.4456][ 38.5026][ 37.6475][  36.873][ 36.1726][ 35.5406][ 34.9718][ 34.4618][ 34.0066][ 33.6027][ 33.2471][ 32.9371][ 32.6706][ 32.4455][ 32.2603][ 32.1136][ 32.0046][ 31.9323][ 31.8963][ 31.8963][ 31.9323][ 32.0047][ 32.1138][ 32.2605][ 32.4457][ 32.6708][ 32.9374][ 33.2474][ 33.6031][  34.007][ 34.4623][ 34.9723][ 35.5411][ 36.1732][ 36.8736][ 37.6481][ 38.5032][ 39.4462][ 40.4854][   41.63][ 42.8902][ 44.2775][ 45.8047][ 47.4857][ 49.3358][ 51.3715][ 53.6101][ 56.0698][ 58.7687][ 61.7238][ 64.9502][  68.459][ 72.2552][ 76.3352][ 80.6844][ 85.2747][ 90.0637][ 94.9948][     100]
[     100][ 95.4275][ 90.9133][ 86.5115][ 82.2685][  78.221][ 74.3948][  70.806][ 67.4616][ 64.3612][ 61.4992][ 58.8659][ 56.4491][ 54.2352][   52.21][ 50.3593][ 48.6693][ 47.1269][ 45.7201][ 44.4373][ 43.2684][ 42.2039][ 41.2352][ 40.3546][ 39.5553][ 38.8311][ 38.1763][ 37.5862][ 37.0563][ 36.5826][  36.162][ 35.7912][ 35.4678][ 35.1894][ 34.9542][ 34.7606][ 34.6072][ 34.4931][ 34.4174][ 34.3798][ 34.3798][ 34.4175][ 34.4932][ 34.6074][ 34.7608][ 34.9545][ 35.1897][ 35.4681][ 35.7916][ 36.1624][ 36.5831][ 37.0567][ 37.5867][ 38.1769][ 38.8317][ 39.5559][ 40.3553][ 41.2358][ 42.2045][ 43.2691][  44.438][ 45.7207][ 47.1276][ 48.6699][ 50.3599][ 52.2106][ 54.2358][ 56.4497][ 58.8665][ 61.4998][ 64.3618][ 67.4621][ 70.8065][ 74.3952][ 78.2213][ 82.2688][ 86.5117][ 90.9135][ 95.4276][     100]
[     100][  95.802][ 91.6506][ 87.5897][ 83.6576][ 79.8857][ 76.2976][ 72.9092][ 69.7293][ 66.7609][ 64.0017][ 61.4461][ 59.0859][ 56.9109][ 54.9103][ 53.0727][ 51.3868][ 49.8416][ 48.4265][ 47.1316][ 45.9477][ 44.8663][ 43.8797][ 42.9806][ 42.1627][ 41.4201][ 40.7476][ 40.1404][ 39.5944][ 39.1059][ 38.6714][ 38.2881][ 37.9534][ 37.6652][ 37.4215][ 37.2207][ 37.0617][ 36.9433][ 36.8648][ 36.8256][ 36.8257][ 36.8648][ 36.9434][ 37.0619][  37.221][ 37.4217][ 37.6655][ 37.9538][ 38.2885][ 38.6718][ 39.1063][  39.595][  40.141][ 40.7482][ 41.4207][ 42.1633][ 42.9813][ 43.8804][  44.867][ 45.9484][ 47.1323][ 48.4272][ 49.8423][ 51.3875][ 53.0734][  54.911][ 56.9116][ 59.0865][ 61.4467][ 64.0023][ 66.7614][ 69.7298][ 72.9096][  76.298][  79.886][ 83.6579][ 87.5899][ 91.6508][ 95.8021][     100]
[     100][ 96.1298][ 92.2975][ 88.5391][ 84.8864][ 81.3665][ 78.0006][ 74.8038][ 71.7858][ 68.9512][ 66.3006][  63.831][ 61.5373][ 59.4123][ 57.4477][ 55.6346][ 53.9638][ 52.4262][ 51.0127][ 49.7149][ 48.5246][ 47.4342][ 46.4367][ 45.5255][ 44.6948][ 43.9391][ 43.2536][ 42.6336][ 42.0753][ 41.5751][ 41.1297][ 40.7364][ 40.3927][ 40.0965][ 39.8459][ 39.6393][ 39.4756][ 39.3537][ 39.2728][ 39.2325][ 39.2325][ 39.2729][ 39.3538][ 39.4758][ 39.6396][ 39.8462][ 40.0968][ 40.3931][ 40.7368][ 41.1302][ 41.5756][ 42.0758][ 42.6342][ 43.2542][ 43.9398][ 44.6955][ 45.5262][ 46.4374][ 47.4349][ 48.5253][ 49.7156][ 51.0135][ 52.4269][ 53.9645][ 55.6353][ 57.4484][  59.413][  61.538][ 63.8317][ 66.3012][ 68.9518][ 71.7863][ 74.8043][  78.001][ 81.3669][ 84.8867][ 88.5393][ 92.2977][ 96.1299][     100]
[     100][ 96.4197][ 92.8707][ 89.3826][ 85.9825][ 82.6935][ 79.5345][ 76.5196][ 73.6588][ 70.9576][ 68.4184][ 66.0402][ 63.8201][ 61.7533][ 59.8336][ 58.0542][ 56.4077][ 54.8866][ 53.4834][ 52.1908][ 51.0016][ 49.9092][ 48.9074][ 47.9901][  47.152][ 46.3882][  45.694][ 45.0652][ 44.4982][ 43.9895][ 43.5361][ 43.1353][ 42.7847][ 42.4823][ 42.2263][ 42.0152][ 41.8478][ 41.7231][ 41.6403][ 41.5991][ 41.5991][ 41.6404][ 41.7232][  41.848][ 42.0155][ 42.2266][ 42.4826][ 42.7851][ 43.1357][ 43.5366][   43.99][ 44.4988][ 45.0658][ 45.6946][ 46.3889][ 47.1527][ 47.9908][ 48.9081][   49.91][ 51.0024][ 52.1916][ 53.4842][ 54.8874][ 56.4085][ 58.0549][ 59.8343][  61.754][ 63.8208][ 66.0409][  68.419][ 70.9582][ 73.6593][ 76.5201][ 79.5349][ 82.6939][ 85.9828][ 89.3829][ 92.8708][ 96.4198][     100]
[     100][ 96.6784][ 93.3829][ 90.1383][ 86.9675][ 83.8906][ 80.9242][ 78.0815][ 75.3721][ 72.8022][ 70.3751][ 68.0914][ 65.9498][ 63.9472][ 62.0793][ 60.3409][ 58.7263][ 57.2293][ 55.8437][ 54.5633][ 53.3819][ 52.2939][ 51.2935][ 50.3756][ 49.5352][ 48.7677][  48.069][ 47.4352][ 46.8629][ 46.3487][ 45.8899][  45.484][ 45.1286][ 44.8218][ 44.5619][ 44.3475][ 44.1774][ 44.0506][ 43.9665][ 43.9246][ 43.9246][ 43.9666][ 44.0508][ 44.1776][ 44.3478][ 44.5622][ 44.8222][  45.129][ 45.4844][ 45.8904][ 46.3493][ 46.8634][ 47.4359][ 48.0697][ 48.7684][ 49.5359][ 50.3763][ 51.2943][ 52.2947][ 53.3827][ 54.5641][ 55.8445][ 57.2301][ 58.7271][ 60.3417][ 62.0801][ 63.9479][ 65.9505][ 68.0921][ 70.3757][ 72.8028][ 75.3727][ 78.0821][ 80.9247][  83.891][ 86.9678][ 90.1385][  93.383][ 96.6785][     100]
[     100][ 96.9111][ 93.8441][ 90.8201][ 87.8586][ 84.9771][ 82.1903][ 79.5102][  76.946][ 74.5041][ 72.1884][ 70.0006][ 67.9405][ 66.0064][ 64.1956][  62.504][ 60.9273][ 59.4606][ 58.0988][ 56.8367][ 55.6691][ 54.5909][ 53.5973][ 52.6836][ 51.8454][ 51.0785][ 50.3792][ 49.7439][ 49.1694][ 48.6527][ 48.1911][ 47.7822][  47.424][ 47.1146][ 46.8522][ 46.6357][ 46.4638][ 46.3357][ 46.2506][ 46.2082][ 46.2083][ 46.2507][ 46.3358][  46.464][ 46.6359][ 46.8525][ 47.1149][ 47.4244][ 47.7827][ 48.1916][ 48.6532][   49.17][ 49.7446][ 50.3799][ 51.0793][ 51.8461][ 52.6844][ 53.5981][ 54.5917][ 55.6699][ 56.8375][ 58.0997][ 59.4614][ 60.9281][ 62.5048][ 64.1963][ 66.0072][ 67.9412][ 70.0013][  72.189][ 74.5047][ 76.9466][ 79.5108][ 82.1908][ 84.9775][  87.859][ 90.8203][ 93.8442][ 96.9112][     100]
[     100][ 97.1218][ 94.2623][ 91.4394][ 88.6699][  85.969][ 83.3497][ 80.8231][ 78.3977][ 76.0798][ 73.8738][  71.782][ 69.8052][ 67.9426][ 66.1925][ 64.5523][ 63.0184][ 61.5872][ 60.2544][ 59.0157][ 57.8669][ 56.8035][ 55.8213][ 54.9162][ 54.0844][ 53.3219][ 52.6256][  51.992][ 51.4183][ 50.9016][ 50.4396][   50.03][ 49.6708][ 49.3603][ 49.0969][ 48.8793][ 48.7065][ 48.5777][ 48.4922][ 48.4496][ 48.4496][ 48.4923][ 48.5779][ 48.7067][ 48.8796][ 49.0972][ 49.3606][ 49.6712][ 50.0305][ 50.4401][ 50.9022][ 51.4189][ 51.9927][ 52.6263][ 53.3227][ 54.0851][  54.917][ 55.8221][ 56.8043][ 57.8677][ 59.0166][ 60.2552][  61.588][ 63.0192][ 64.5531][ 66.1934][ 67.9434][ 69.8059][ 71.7827][ 73.8745][ 76.0804][ 78.3983][ 80.8236][ 83.3502][ 85.9694][ 88.6702][ 91.4396][ 94.2625][ 97.1219][     100]
[     100][  97.314][ 94.6439][ 92.0052][ 89.4126][ 86.8791][ 84.4166][ 82.0348][ 79.7418][ 77.5437][ 75.4451][ 73.4486][ 71.5557][ 69.7664][ 68.0798][ 66.4942][  65.007][ 63.6153][ 62.3158][ 61.1051][ 59.9794][  58.935][ 57.9683][ 57.0758][ 56.2539][ 55.4994][ 54.8092][ 54.1803][ 53.6101][ 53.0961][ 52.6359][ 52.2275][  51.869][ 51.5589][ 51.2957][ 51.0783][ 50.9055][ 50.7766][  50.691][ 50.6483][ 50.6484][ 50.6911][ 50.7767][ 50.9057][ 51.0785][ 51.2961][ 51.5593][ 51.8695][ 52.2279][ 52.6364][ 53.0966][ 53.6108][  54.181][ 54.8099][ 55.5002][ 56.2547][ 57.0766][ 57.9692][ 58.9358][ 59.9802][ 61.1059][ 62.3167][ 63.6162][ 65.0078][  66.495][ 68.0806][ 69.7672][ 71.5565][ 73.4493][ 75.4458][ 77.5444][ 79.7424][ 82.0353][ 84.4171][ 86.8796][ 89.4129][ 92.0055][ 94.6441][ 97.3141][     100]
