One Processor: 
Tolerence Level: 0.1
Final Difference Between Grids: 0.0999044
Iteration Count: 2068
Ticks: 329468
Seconds: 0.329468s
[       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0]
[     100][ 94.6888][ 89.4751][ 84.4464][ 79.6733][ 75.2059][ 71.0741][ 67.2903][ 63.8533][ 60.7518][ 57.9688][ 55.4837][ 53.2745][ 51.3194][ 49.5977][ 48.0902][ 46.7798][  45.651][ 44.6908][ 43.8877][ 43.2323][  42.717][ 42.3357][ 42.0839][ 41.9587][ 41.9588][  42.084][ 42.3358][ 42.7172][ 43.2326][  43.888][ 44.6912][ 45.6515][ 46.7803][ 48.0908][ 49.5983][   51.32][ 53.2751][ 55.4843][ 57.9694][ 60.7524][ 63.8538][ 67.2909][ 71.0746][ 75.2063][ 79.6736][ 84.4467][ 89.4753][ 94.6889][     100]
[     100][ 95.2095][ 90.4942][ 85.9233][ 81.5542][ 77.4308][ 73.5821][ 70.0242][ 66.7617][  63.791][ 61.1024][ 58.6825][ 56.5156][ 54.5854][ 52.8756][ 51.3708][ 50.0567][ 48.9204][ 47.9504][ 47.1368][ 46.4714][ 45.9471][ 45.5586][ 45.3018][ 45.1741][ 45.1742][  45.302][ 45.5588][ 45.9474][ 46.4717][ 47.1372][ 47.9508][ 48.9209][ 50.0572][ 51.3714][ 52.8762][  54.586][ 56.5163][ 58.6832][ 61.1031][ 63.7916][ 66.7623][ 70.0247][ 73.5826][ 77.4312][ 81.5546][ 85.9236][ 90.4945][ 95.2096][     100]
[     100][ 95.6549][ 91.3692][ 87.1982][ 83.1895][ 79.3809][ 75.7995][ 72.4625][ 69.3784][ 66.5482][ 63.9675][ 61.6284][ 59.5202][  57.631][ 55.9486][ 54.4608][  53.156][ 52.0235][ 51.0537][ 50.2381][ 49.5694][ 49.0416][   48.65][ 48.3909][  48.262][  48.262][  48.391][ 48.6502][ 49.0419][ 49.5697][ 50.2385][ 51.0541][  52.024][ 53.1566][ 54.4614][ 55.9493][ 57.6317][ 59.5209][ 61.6291][ 63.9682][ 66.5488][  69.379][ 72.4631][    75.8][ 79.3813][ 83.1899][ 87.1986][ 91.3694][  95.655][     100]
[     100][ 96.0408][ 92.1295][  88.311][ 84.6249][ 81.1037][ 77.7724][ 74.6482][ 71.7413][ 69.0558][ 66.5912][ 64.3434][ 62.3058][ 60.4701][ 58.8272][  57.368][ 56.0831][ 54.9641][ 54.0029][ 53.1925][ 52.5266][ 52.0002][  51.609][   51.35][  51.221][  51.221][ 51.3501][ 51.6092][ 52.0005][  52.527][ 53.1929][ 54.0034][ 54.9646][ 56.0837][ 57.3686][ 58.8279][ 60.4708][ 62.3065][ 64.3442][ 66.5919][ 69.0565][ 71.7419][ 74.6489][  77.773][ 81.1042][ 84.6253][ 88.3113][ 92.1298][  96.041][     100]
[     100][  96.379][ 92.7971][ 89.2914][ 85.8953][ 82.6368][ 79.5384][ 76.6167][ 73.8828][ 71.3426][ 68.9982][ 66.8485][ 64.8896][ 63.1164][ 61.5224][ 60.1008][ 58.8446][  57.747][ 56.8015][ 56.0025][ 55.3446][ 54.8236][  54.436][ 54.1791][ 54.0512][ 54.0512][ 54.1793][ 54.4362][ 54.8239][  55.345][ 56.0029][ 56.8021][ 57.7476][ 58.8452][ 60.1015][ 61.5231][ 63.1171][ 64.8903][ 66.8492][  68.999][ 71.3433][ 73.8835][ 76.6174][  79.539][ 82.6373][ 85.8957][ 89.2918][ 92.7973][ 96.3791][     100]
[     100][  96.678][ 93.3885][ 90.1624][  87.028][ 84.0098][ 81.1278][ 78.3976][ 75.8306][ 73.4337][ 71.2108][ 69.1627][ 67.2879][ 65.5835][ 64.0453][ 62.6684][ 61.4477][ 60.3779][  59.454][ 58.6714][ 58.0259][ 57.5139][ 57.1325][ 56.8796][ 56.7535][ 56.7535][ 56.8797][ 57.1328][ 57.5142][ 58.0263][ 58.6718][ 59.4545][ 60.3785][ 61.4483][ 62.6691][  64.046][ 65.5843][ 67.2887][ 69.1635][ 71.2116][ 73.4345][ 75.8313][ 78.3983][ 81.1284][ 84.0103][ 87.0285][ 90.1628][ 93.3887][ 96.6781][     100]
[     100][ 96.9446][ 93.9164][ 90.9418][ 88.0447][ 85.2465][ 82.5653][ 80.0156][ 77.6082][  75.351][ 73.2487][ 71.3036][  69.516][ 67.8846][  66.407][   65.08][    63.9][  62.863][ 61.9653][ 61.2034][ 60.5738][ 60.0737][ 59.7008][ 59.4533][ 59.3298][ 59.3299][ 59.4534][ 59.7011][  60.074][ 60.5742][ 61.2038][ 61.9659][ 62.8636][ 63.9006][ 65.0807][ 66.4078][ 67.8854][ 69.5168][ 71.3044][ 73.2495][ 75.3518][  77.609][ 80.0163][  82.566][ 85.2471][ 88.0452][ 90.9421][ 93.9167][ 96.9447][     100]
[     100][ 97.1839][ 94.3909][ 91.6435][ 88.9625][ 86.3664][ 83.8716][ 81.4912][ 79.2359][ 77.1135][ 75.1295][ 73.2872][  71.588][ 70.0321][ 68.6183][ 67.3449][ 66.2093][  65.209][ 64.3412][ 63.6032][ 62.9924][ 62.5066][  62.144][ 61.9031][ 61.7829][ 61.7829][ 61.9032][ 62.1442][ 62.5069][ 62.9928][ 63.6036][ 64.3418][ 65.2096][   66.21][ 67.3456][ 68.6191][ 70.0329][ 71.5889][  73.288][ 75.1303][ 77.1143][ 79.2367][ 81.4919][ 83.8722][  86.367][  88.963][ 91.6439][ 94.3912][  97.184][     100]
[     100][    97.4][ 94.8199][  92.279][ 89.7953][ 87.3853][ 85.0634][ 82.8418][ 80.7307][ 78.7377][ 76.8688][ 75.1278][  73.517][ 72.0376][ 70.6895][ 69.4719][ 68.3836][ 67.4227][ 66.5875][ 65.8759][ 65.2861][ 64.8165][ 64.4656][ 64.2323][ 64.1159][  64.116][ 64.2325][ 64.4658][ 64.8168][ 65.2865][ 65.8764][  66.588][ 67.4234][ 68.3843][ 69.4727][ 70.6903][ 72.0384][ 73.5178][ 75.1286][ 76.8696][ 78.7386][ 80.7315][ 82.8426][  85.064][ 87.3859][ 89.7958][ 92.2794][ 94.8202][ 97.4002][     100]
[     100][ 97.5963][ 95.2098][ 92.8573][ 90.5545][ 88.3161][ 86.1549][ 84.0822][ 82.1074][ 80.2381][ 78.4803][ 76.8382][ 75.3148][ 73.9119][ 72.6302][   71.47][ 70.4305][  69.511][ 68.7102][ 68.0269][ 67.4599][ 67.0078][ 66.6698][ 66.4449][ 66.3327][ 66.3327][ 66.4451][   66.67][ 67.0082][ 67.4603][ 68.0275][ 68.7108][ 69.5116][ 70.4312][ 71.4707][  72.631][ 73.9127][ 75.3156][  76.839][ 78.4811][  80.239][ 82.1082][ 84.0829][ 86.1555][ 88.3167][  90.555][ 92.8577][ 95.2101][ 97.5965][     100]
