One Processor: 
Tolerence Level: 0.1
Final Difference Between Grids: 0.0999044
Iteration Count: 2068
Ticks: 329468
Seconds: 0.329468s
[       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0]
[     100][ 99.2659][ 98.5352][ 97.8111][  97.097][  96.396][ 95.7113][ 95.0457][ 94.4022][ 93.7834][ 93.1918][ 92.6298][ 92.0994][ 91.6028][ 91.1416][ 90.7176][  90.332][ 89.9863][ 89.6815][ 89.4186][ 89.1983][ 89.0213][ 88.8881][ 88.7991][ 88.7546][ 88.7546][ 88.7992][ 88.8883][ 89.0215][ 89.1986][  89.419][  89.682][ 89.9869][ 90.3326][ 90.7182][ 91.1423][ 91.6035][ 92.1001][ 92.6305][ 93.1925][ 93.7841][ 94.4029][ 95.0463][ 95.7118][ 96.3965][ 97.0974][ 97.8114][ 98.5354][  99.266][     100]
[     100][ 99.3311][ 98.6652][ 98.0054][ 97.3545][ 96.7155][ 96.0912][ 95.4842][ 94.8971][ 94.3324][ 93.7924][ 93.2792][ 92.7948][  92.341][ 91.9195][ 91.5317][ 91.1791][ 90.8628][ 90.5839][ 90.3432][ 90.1415][ 89.9794][ 89.8574][ 89.7759][ 89.7351][ 89.7352][  89.776][ 89.8576][ 89.9797][ 90.1418][ 90.3436][ 90.5843][ 90.8633][ 91.1797][ 91.5323][ 91.9201][ 92.3416][ 92.7954][ 93.2799][ 93.7931][ 94.3331][ 94.8977][ 95.4847][ 96.0917][  96.716][ 97.3549][ 98.0057][ 98.6654][ 99.3312][     100]
[     100][ 99.3933][ 98.7893][ 98.1907][ 97.6002][ 97.0204][ 96.4537][ 95.9028][ 95.3697][ 94.8569][ 94.3663][    93.9][ 93.4596][  93.047][ 92.6636][ 92.3109][   91.99][ 91.7021][ 91.4481][ 91.2289][ 91.0452][ 90.8976][ 90.7865][ 90.7122][  90.675][ 90.6751][ 90.7123][ 90.7866][ 90.8978][ 91.0455][ 91.2293][ 91.4486][ 91.7026][ 91.9905][ 92.3114][ 92.6642][ 93.0476][ 93.4602][ 93.9006][ 94.3669][ 94.8575][ 95.3703][ 95.9033][ 96.4542][ 97.0208][ 97.6006][  98.191][ 98.7895][ 99.3934][     100]
[     100][ 99.4528][ 98.9079][  98.368][ 97.8353][ 97.3121][ 96.8008][ 96.3034][ 95.8222][ 95.3592][ 94.9161][ 94.4948][ 94.0969][ 93.7239][ 93.3773][ 93.0583][ 92.7681][ 92.5076][ 92.2777][ 92.0794][ 91.9131][ 91.7794][ 91.6788][ 91.6115][ 91.5779][ 91.5779][ 91.6116][ 91.6789][ 91.7796][ 91.9133][ 92.0797][ 92.2781][  92.508][ 92.7685][ 93.0588][ 93.3778][ 93.7245][ 94.0974][ 94.4953][ 94.9166][ 95.3597][ 95.8228][ 96.3039][ 96.8012][ 97.3125][ 97.8356][ 98.3682][ 98.9081][ 99.4528][     100]
[     100][ 99.5098][ 99.0218][ 98.5381][ 98.0608][  97.592][ 97.1338][ 96.6881][ 96.2567][ 95.8415][ 95.4441][ 95.0662][ 94.7092][ 94.3746][ 94.0635][ 93.7771][ 93.5164][ 93.2825][  93.076][ 92.8978][ 92.7484][ 92.6282][ 92.5378][ 92.4774][ 92.4471][ 92.4471][ 92.4775][  92.538][ 92.6284][ 92.7486][ 92.8981][ 93.0764][ 93.2829][ 93.5169][ 93.7775][ 94.0639][ 94.3751][ 94.7098][ 95.0667][ 95.4447][  95.842][ 96.2572][ 96.6885][ 97.1342][ 97.5924][ 98.0611][ 98.5383][ 99.0219][ 99.5099][     100]
[     100][ 99.5647][ 99.1313][ 98.7017][ 98.2778][ 97.8614][ 97.4544][ 97.0584][ 96.6751][  96.306][ 95.9528][ 95.6168][ 95.2994][ 95.0017][  94.725][ 94.4702][ 94.2382][   94.03][ 93.8462][ 93.6875][ 93.5545][ 93.4475][  93.367][ 93.3131][ 93.2862][ 93.2862][ 93.3132][ 93.3671][ 93.4477][ 93.5547][ 93.6878][ 93.8466][ 94.0304][ 94.2386][ 94.4706][ 94.7254][ 95.0022][ 95.2999][ 95.6173][ 95.9533][ 96.3065][ 96.6755][ 97.0588][ 97.4548][ 97.8618][ 98.2781][ 98.7019][ 99.1315][ 99.5648][     100]
[     100][ 99.6177][  99.237][ 98.8597][ 98.4874][ 98.1216][  97.764][  97.416][ 97.0792][ 96.7549][ 96.4444][  96.149][ 95.8699][ 95.6081][ 95.3646][ 95.1405][ 94.9364][ 94.7532][ 94.5914][ 94.4518][ 94.3346][ 94.2404][ 94.1695][ 94.1221][ 94.0984][ 94.0984][ 94.1222][ 94.1697][ 94.2406][ 94.3348][  94.452][ 94.5917][ 94.7535][ 94.9368][ 95.1409][  95.365][ 95.6085][ 95.8703][ 96.1494][ 96.4448][ 96.7553][ 97.0796][ 97.4164][ 97.7643][ 98.1219][ 98.4876][ 98.8599][ 99.2372][ 99.6178][     100]
[     100][  99.669][ 99.3394][ 99.0128][ 98.6904][ 98.3736][ 98.0639][ 97.7626][ 97.4708][ 97.1899][ 96.9209][ 96.6649][  96.423][ 96.1961][ 95.9851][ 95.7908][ 95.6138][ 95.4549][ 95.3147][ 95.1935][ 95.0919][ 95.0102][ 94.9487][ 94.9076][  94.887][  94.887][ 94.9076][ 94.9488][ 95.0103][ 95.0921][ 95.1937][ 95.3149][ 95.4552][ 95.6141][ 95.7911][ 95.9855][ 96.1965][ 96.4234][ 96.6653][ 96.9213][ 97.1902][ 97.4712][ 97.7629][ 98.0642][ 98.3739][ 98.6906][ 99.0129][ 99.3396][ 99.6691][     100]
[     100][ 99.7189][  99.439][ 99.1615][ 98.8877][ 98.6187][ 98.3556][ 98.0996][ 97.8517][  97.613][ 97.3844][ 97.1669][ 96.9613][ 96.7684][  96.589][ 96.4237][ 96.2733][ 96.1381][ 96.0188][ 95.9158][ 95.8293][ 95.7598][ 95.7075][ 95.6725][  95.655][  95.655][ 95.6726][ 95.7076][   95.76][ 95.8295][  95.916][  96.019][ 96.1384][ 96.2735][  96.424][ 96.5893][ 96.7687][ 96.9616][ 97.1672][ 97.3847][ 97.6133][  97.852][ 98.0999][ 98.3559][ 98.6189][ 98.8879][ 99.1617][ 99.4391][ 99.7189][     100]
[     100][ 99.7676][ 99.5361][ 99.3067][ 99.0803][ 98.8578][ 98.6402][ 98.4285][ 98.2235][  98.026][ 97.8369][ 97.6569][ 97.4868][ 97.3272][ 97.1788][  97.042][ 96.9174][ 96.8056][ 96.7068][ 96.6215][ 96.5499][ 96.4924][  96.449][ 96.4201][ 96.4056][ 96.4056][ 96.4201][ 96.4491][ 96.4925][ 96.5501][ 96.6217][  96.707][ 96.8058][ 96.9177][ 97.0422][  97.179][ 97.3275][ 97.4871][ 97.6572][ 97.8372][ 98.0263][ 98.2237][ 98.4287][ 98.6405][  98.858][ 99.0804][ 99.3068][ 99.5362][ 99.7676][     100]
[     100][ 99.8152][ 99.6313][ 99.4489][ 99.2689][  99.092][ 98.9191][ 98.7507][ 98.5877][ 98.4307][ 98.2803][ 98.1372][ 98.0019][  97.875][ 97.7569][ 97.6481][  97.549][   97.46][ 97.3814][ 97.3135][ 97.2566][ 97.2108][ 97.1763][ 97.1532][ 97.1417][ 97.1417][ 97.1533][ 97.1763][ 97.2109][ 97.2567][ 97.3136][ 97.3815][ 97.4601][ 97.5492][ 97.6483][ 97.7571][ 97.8752][ 98.0021][ 98.1374][ 98.2805][ 98.4309][ 98.5879][ 98.7509][ 98.9193][ 99.0922][  99.269][  99.449][ 99.6313][ 99.8153][     100]
[     100][ 99.8621][ 99.7248][ 99.5887][ 99.4544][ 99.3224][ 99.1933][ 99.0677][  98.946][ 98.8288][ 98.7165][ 98.6097][ 98.5087][ 98.4139][ 98.3257][ 98.2445][ 98.1705][  98.104][ 98.0453][ 97.9946][ 97.9521][ 97.9179][ 97.8921][ 97.8749][ 97.8663][ 97.8663][ 97.8749][ 97.8922][ 97.9179][ 97.9522][ 97.9947][ 98.0454][ 98.1041][ 98.1706][ 98.2446][ 98.3259][  98.414][ 98.5088][ 98.6098][ 98.7167][ 98.8289][ 98.9461][ 99.0678][ 99.1934][ 99.3225][ 99.4545][ 99.5888][ 99.7249][ 99.8621][     100]
[     100][ 99.9084][ 99.8172][ 99.7268][ 99.6375][ 99.5499][ 99.4641][ 99.3806][ 99.2998][ 99.2219][ 99.1473][ 99.0763][ 99.0092][ 98.9462][ 98.8876][ 98.8336][ 98.7845][ 98.7403][ 98.7013][ 98.6676][ 98.6393][ 98.6166][ 98.5995][  98.588][ 98.5823][ 98.5823][  98.588][ 98.5995][ 98.6166][ 98.6394][ 98.6677][ 98.7014][ 98.7404][ 98.7846][ 98.8337][ 98.8877][ 98.9463][ 99.0093][ 99.0764][ 99.1474][  99.222][ 99.2999][ 99.3807][ 99.4642][ 99.5499][ 99.6376][ 99.7268][ 99.8172][ 99.9084][     100]
[     100][ 99.9543][ 99.9088][ 99.8637][ 99.8192][ 99.7754][ 99.7326][  99.691][ 99.6506][ 99.6118][ 99.5746][ 99.5391][ 99.5056][ 99.4742][  99.445][  99.418][ 99.3935][ 99.3714][  99.352][ 99.3351][  99.321][ 99.3097][ 99.3011][ 99.2954][ 99.2926][ 99.2926][ 99.2954][ 99.3012][ 99.3097][ 99.3211][ 99.3352][  99.352][ 99.3715][ 99.3935][ 99.4181][  99.445][ 99.4743][ 99.5057][ 99.5392][ 99.5746][ 99.6118][ 99.6507][  99.691][ 99.7327][ 99.7754][ 99.8192][ 99.8637][ 99.9088][ 99.9543][     100]
[     100][     100][     100][     100][     100][     100][     100][     100][     100][     100][     100][     100][     100][     100][     100][     100][     100][     100][     100][     100][     100][     100][     100][     100][     100][     100][     100][     100][     100][     100][     100][     100][     100][     100][     100][     100][     100][     100][     100][     100][     100][     100][     100][     100][     100][     100][     100][     100][     100][     100]
