
*************************
hdFourPro(): Four Processors:
Grid_SPEC: (WxH) 100x100
Tolerance Level: 0.1
Final accumulative difference between grids: 0.0999667
Iteration Count: 4224
CPU Time(Ticks): 4.07386e+06
CPU Time(Seconds): 4.07386s
OMP Wall Time(Seconds): 2.20627s
OMP Timer Precision(Seconds): 0
********************************
FINAL GRID: 
***********************************
[       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0]
[     100][ 94.3339][ 88.7642][ 83.3776][ 78.2435][ 73.4111][ 68.9091][ 64.7487][ 60.9276][ 57.4333][ 54.2474][ 51.3479][ 48.7112][ 46.3139][ 44.1335][ 42.1488][ 40.3406][ 38.6911][ 37.1845][ 35.8068][ 34.5451][ 33.3884][ 32.3268][ 31.3513][ 30.4542][ 29.6286][ 28.8683][ 28.1679][ 27.5226][  26.928][ 26.3803][ 25.8761][ 25.4123][ 24.9863][ 24.5956][  24.238][ 23.9117][ 23.6149][ 23.3461][  23.104][ 22.8873][ 22.6951][ 22.5263][ 22.3803][ 22.2564][  22.154][ 22.0725][ 22.0118][ 21.9715][ 21.9513][ 21.9513][ 21.9715][ 22.0118][ 22.0726][  22.154][ 22.2564][ 22.3804][ 22.5264][ 22.6951][ 22.8874][  23.104][ 23.3462][  23.615][ 23.9118][ 24.2381][ 24.5957][ 24.9864][ 25.4124][ 25.8762][ 26.3804][ 26.9281][ 27.5227][ 28.1681][ 28.8684][ 29.6287][ 30.4543][ 31.3514][ 32.3269][ 33.3886][ 34.5452][ 35.8069][ 37.1847][ 38.6912][ 40.3407][ 42.1489][ 44.1336][  46.314][ 48.7113][  51.348][ 54.2475][ 57.4334][ 60.9277][ 64.7488][ 68.9091][ 73.4111][ 78.2436][ 83.3776][ 88.7642][ 94.3339][     100]
[     100][ 94.8268][ 89.7277][ 84.7708][ 80.0127][ 75.4959][ 71.2484][  67.285][ 63.6093][ 60.2161][ 57.0946][ 54.2296][ 51.6039][ 49.1997][ 46.9986][ 44.9833][ 43.1373][ 41.4452][  39.893][ 38.4679][ 37.1583][ 35.9538][ 34.8451][ 33.8237][ 32.8822][ 32.0139][ 31.2127][ 30.4734][ 29.7911][ 29.1615][ 28.5808][ 28.0456][ 27.5528][ 27.0997][ 26.6837][ 26.3028][ 25.9549][ 25.6382][ 25.3513][ 25.0926][ 24.8611][ 24.6556][ 24.4752][  24.319][ 24.1864][ 24.0767][ 23.9896][ 23.9245][ 23.8813][ 23.8598][ 23.8598][ 23.8814][ 23.9246][ 23.9896][ 24.0768][ 24.1864][  24.319][ 24.4752][ 24.6557][ 24.8612][ 25.0927][ 25.3513][ 25.6383][ 25.9549][ 26.3029][ 26.6838][ 27.0998][ 27.5529][ 28.0457][ 28.5809][ 29.1616][ 29.7912][ 30.4735][ 31.2128][  32.014][ 32.8823][ 33.8238][ 34.8452][  35.954][ 37.1585][ 38.4681][ 39.8932][ 41.4454][ 43.1374][ 44.9834][ 46.9987][ 49.1998][ 51.6041][ 54.2297][ 57.0947][ 60.2162][ 63.6094][ 67.2851][ 71.2485][ 75.4959][ 80.0127][ 84.7709][ 89.7278][ 94.8268][     100]
[     100][ 95.2454][ 90.5491][ 85.9654][ 81.5405][ 77.3113][ 73.3037][ 69.5337][ 66.0084][ 62.7274][ 59.6851][ 56.8718][ 54.2754][ 51.8822][  49.678][ 47.6486][ 45.7801][ 44.0595][ 42.4744][ 41.0136][ 39.6665][ 38.4235][ 37.2761][ 36.2163][ 35.2371][  34.332][ 33.4953][ 32.7218][ 32.0068][ 31.3461][ 30.7359][ 30.1727][ 29.6537][ 29.1759][ 28.7369][ 28.3345][ 27.9668][ 27.6318][ 27.3281][ 27.0542][ 26.8089][ 26.5911][ 26.3998][ 26.2341][ 26.0934][  25.977][ 25.8845][ 25.8155][ 25.7696][ 25.7467][ 25.7467][ 25.7696][ 25.8155][ 25.8845][ 25.9771][ 26.0934][ 26.2341][ 26.3998][ 26.5912][  26.809][ 27.0543][ 27.3282][ 27.6319][ 27.9669][ 28.3346][  28.737][  29.176][ 29.6538][ 30.1729][  30.736][ 31.3462][ 32.0069][ 32.7219][ 33.4954][ 34.3321][ 35.2372][ 36.2164][ 37.2762][ 38.4236][ 39.6666][ 41.0137][ 42.4746][ 44.0596][ 45.7802][ 47.6487][ 49.6781][ 51.8823][ 54.2755][ 56.8719][ 59.6852][ 62.7275][ 66.0084][ 69.5338][ 73.3038][ 77.3114][ 81.5406][ 85.9654][ 90.5491][ 95.2454][     100]
[     100][ 95.6057][  91.258][ 87.0009][ 82.8728][ 78.9051][ 75.1214][ 71.5378][  68.163][      65][ 62.0466][ 59.2973][ 56.7437][ 54.3758][ 52.1826][ 50.1528][  48.275][ 46.5382][ 44.9317][ 43.4455][ 42.0704][ 40.7977][ 39.6194][ 38.5283][ 37.5178][ 36.5818][ 35.7147][ 34.9117][ 34.1682][ 33.4802][ 32.8438][ 32.2559][ 31.7133][ 31.2133][ 30.7535][ 30.3317][ 29.9458][ 29.5942][ 29.2751][ 28.9873][ 28.7293][ 28.5001][ 28.2987][ 28.1243][ 27.9761][ 27.8535][  27.756][ 27.6832][ 27.6349][ 27.6108][ 27.6108][ 27.6349][ 27.6833][  27.756][ 27.8535][ 27.9761][ 28.1243][ 28.2988][ 28.5002][ 28.7294][ 28.9873][ 29.2752][ 29.5943][  29.946][ 30.3318][ 30.7536][ 31.2134][ 31.7134][  32.256][  32.844][ 33.4803][ 34.1684][ 34.9119][ 35.7149][ 36.5819][ 37.5179][ 38.5285][ 39.6196][ 40.7978][ 42.0705][ 43.4457][ 44.9318][ 46.5383][ 48.2752][ 50.1529][ 52.1827][ 54.3759][ 56.7438][ 59.2974][ 62.0467][ 65.0001][ 68.1631][ 71.5379][ 75.1215][ 78.9051][ 82.8728][  87.001][ 91.2581][ 95.6057][     100]
[     100][ 95.9192][ 91.8764][ 87.9075][ 84.0446][ 80.3148][ 76.7391][  73.333][  70.106][ 67.0629][ 64.2042][  61.527][ 59.0262][ 56.6946][ 54.5238][ 52.5051][ 50.6291][ 48.8866][ 47.2686][ 45.7665][  44.372][ 43.0774][ 41.8756][ 40.7598][  39.724][ 38.7625][ 37.8701][ 37.0422][ 36.2743][ 35.5626][ 34.9034][ 34.2936][ 33.7302][ 33.2105][ 32.7322][ 32.2929][ 31.8908][  31.524][  31.191][ 30.8904][ 30.6209][ 30.3813][ 30.1707][ 29.9882][ 29.8331][ 29.7048][ 29.6028][ 29.5266][  29.476][ 29.4507][ 29.4507][  29.476][ 29.5266][ 29.6028][ 29.7049][ 29.8332][ 29.9883][ 30.1708][ 30.3814][  30.621][ 30.8905][ 31.1911][ 31.5241][ 31.8909][  32.293][ 32.7323][ 33.2107][ 33.7304][ 34.2938][ 34.9036][ 35.5627][ 36.2744][ 37.0423][ 37.8703][ 38.7627][ 39.7242][   40.76][ 41.8757][ 43.0775][ 44.3721][ 45.7666][ 47.2687][ 48.8867][ 50.6292][ 52.5052][  54.524][ 56.6947][ 59.0263][ 61.5272][ 64.2043][  67.063][ 70.1061][  73.333][ 76.7392][ 80.3148][ 84.0447][ 87.9076][ 91.8764][ 95.9192][     100]
[     100][ 96.1948][ 92.4209][ 88.7081][ 85.0835][ 81.5702][ 78.1873][  74.949][ 71.8651][ 68.9414][ 66.1801][ 63.5805][ 61.1396][ 58.8525][ 56.7131][ 54.7146][ 52.8496][ 51.1105][ 49.4896][ 47.9797][ 46.5736][ 45.2644][ 44.0457][ 42.9114][  41.856][ 40.8742][ 39.9612][ 39.1125][ 38.3242][ 37.5924][ 36.9137][  36.285][ 35.7035][ 35.1665][ 34.6717][  34.217][ 33.8003][ 33.4201][ 33.0746][ 32.7625][ 32.4825][ 32.2335][ 32.0146][ 31.8248][ 31.6635][   31.53][ 31.4237][ 31.3444][ 31.2917][ 31.2654][ 31.2654][ 31.2917][ 31.3444][ 31.4238][   31.53][ 31.6635][ 31.8249][ 32.0147][ 32.2336][ 32.4826][ 32.7626][ 33.0747][ 33.4202][ 33.8005][ 34.2171][ 34.6718][ 35.1666][ 35.7036][ 36.2852][ 36.9138][ 37.5925][ 38.3243][ 39.1127][ 39.9613][ 40.8743][ 41.8561][ 42.9116][ 44.0458][ 45.2645][ 46.5738][ 47.9799][ 49.4898][ 51.1106][ 52.8497][ 54.7148][ 56.7133][ 58.8526][ 61.1397][ 63.5806][ 66.1802][ 68.9415][ 71.8652][ 74.9491][ 78.1874][ 81.5703][ 85.0835][ 88.7081][ 92.4209][ 96.1948][     100]
[     100][ 96.4391][ 92.9042][ 89.4205][ 86.0109][ 82.6954][ 79.4909][ 76.4106][  73.464][ 70.6575][ 67.9943][ 65.4754][ 63.0991][ 60.8626][ 58.7615][ 56.7907][ 54.9442][  53.216][ 51.5998][ 50.0893][ 48.6783][ 47.3609][ 46.1313][ 44.9841][ 43.9143][  42.917][ 41.9878][ 41.1226][ 40.3175][ 39.5691][  38.874][ 38.2293][ 37.6322][ 37.0803][ 36.5712][ 36.1029][ 35.6736][ 35.2814][ 34.9248][ 34.6025][ 34.3132][ 34.0558][ 33.8294][  33.633][  33.466][ 33.3278][ 33.2178][ 33.1357][ 33.0811][ 33.0538][ 33.0538][ 33.0811][ 33.1357][ 33.2178][ 33.3278][ 33.4661][ 33.6331][ 33.8294][ 34.0559][ 34.3133][ 34.6026][ 34.9249][ 35.2815][ 35.6737][ 36.1031][ 36.5714][ 37.0804][ 37.6324][ 38.2294][ 38.8742][ 39.5693][ 40.3177][ 41.1228][  41.988][ 42.9172][ 43.9145][ 44.9843][ 46.1315][ 47.3611][ 48.6785][ 50.0895][    51.6][ 53.2162][ 54.9444][ 56.7908][ 58.7617][ 60.8628][ 63.0993][ 65.4755][ 67.9945][ 70.6576][ 73.4641][ 76.4107][  79.491][ 82.6955][  86.011][ 89.4206][ 92.9043][ 96.4391][     100]
[     100][ 96.6572][ 93.3365][ 90.0589][ 86.8442][ 83.7097][ 80.6704][ 77.7384][ 74.9228][ 72.2302][ 69.6645][ 67.2274][  64.919][ 62.7374][ 60.6797][ 58.7423][ 56.9206][ 55.2096][ 53.6043][ 52.0994][ 50.6895][ 49.3696][ 48.1345][ 46.9796][ 45.9001][ 44.8918][ 43.9506][ 43.0726][ 42.2543][ 41.4925][ 40.7839][ 40.1259][ 39.5158][ 38.9512][   38.43][ 37.9501][ 37.5096][  37.107][ 36.7408][ 36.4095][  36.112][ 35.8471][  35.614][ 35.4118][ 35.2398][ 35.0974][ 34.9841][ 34.8994][ 34.8431][  34.815][  34.815][ 34.8431][ 34.8994][ 34.9841][ 35.0975][ 35.2399][ 35.4119][ 35.6141][ 35.8472][  36.112][ 36.4096][ 36.7409][ 37.1071][ 37.5098][ 37.9502][ 38.4301][ 38.9514][  39.516][ 40.1261][ 40.7841][ 41.4926][ 42.2545][ 43.0728][ 43.9507][  44.892][ 45.9003][ 46.9798][ 48.1347][ 49.3698][ 50.6897][ 52.0996][ 53.6045][ 55.2098][ 56.9207][ 58.7425][ 60.6799][ 62.7375][ 64.9191][ 67.2276][ 69.6646][ 72.2303][ 74.9229][ 77.7385][ 80.6705][ 83.7098][ 86.8442][ 90.0589][ 93.3365][ 96.6572][     100]
[     100][ 96.8534][ 93.7255][ 90.6344][ 87.5971][ 84.6288][ 81.7427][ 78.9497][ 76.2587][  73.676][ 71.2059][  68.851][ 66.6119][ 64.4881][ 62.4778][ 60.5783][ 58.7861][ 57.0976][ 55.5085][ 54.0143][ 52.6108][ 51.2934][ 50.0577][ 48.8995][ 47.8148][ 46.7995][   45.85][ 44.9629][ 44.1347][ 43.3625][ 42.6434][ 41.9747][ 41.3539][ 40.7789][ 40.2474][ 39.7577][ 39.3079][ 38.8964][ 38.5218][ 38.1827][ 37.8781][ 37.6067][ 37.3678][ 37.1605][ 36.9841][  36.838][ 36.7216][ 36.6347][  36.577][ 36.5481][ 36.5481][  36.577][ 36.6348][ 36.7217][  36.838][ 36.9841][ 37.1606][ 37.3679][ 37.6068][ 37.8782][ 38.1828][ 38.5219][ 38.8965][  39.308][ 39.7578][ 40.2476][ 40.7791][ 41.3541][ 41.9748][ 42.6435][ 43.3627][ 44.1349][ 44.9631][ 45.8502][ 46.7997][  47.815][ 48.8997][ 50.0579][ 51.2936][  52.611][ 54.0145][ 55.5087][ 57.0978][ 58.7863][ 60.5784][  62.478][ 64.4883][ 66.6121][ 68.8511][ 71.2061][ 73.6761][ 76.2588][ 78.9498][ 81.7428][ 84.6289][ 87.5972][ 90.6345][ 93.7255][ 96.8534][     100]
[     100][ 97.0308][ 94.0777][ 91.1562][ 88.2811][ 85.4657][ 82.7217][ 80.0592][ 77.4862][ 75.0091][ 72.6323][ 70.3587][ 68.1897][ 66.1255][ 64.1651][ 62.3068][ 60.5482][ 58.8862][ 57.3176][ 55.8388][  54.446][ 53.1354][ 51.9034][ 50.7461][ 49.6599][ 48.6414][ 47.6872][ 46.7941][ 45.9592][ 45.1795][ 44.4524][ 43.7755][ 43.1464][  42.563][ 42.0232][ 41.5254][ 41.0678][ 40.6489][ 40.2672][ 39.9216][ 39.6109][  39.334][ 39.0901][ 38.8783][ 38.6981][ 38.5487][ 38.4298][  38.341][ 38.2819][ 38.2524][ 38.2524][ 38.2819][  38.341][ 38.4299][ 38.5488][ 38.6981][ 38.8784][ 39.0901][ 39.3341][  39.611][ 39.9217][ 40.2674][  40.649][  41.068][ 41.5256][ 42.0234][ 42.5631][ 43.1465][ 43.7757][ 44.4526][ 45.1797][ 45.9594][ 46.7944][ 47.6874][ 48.6416][ 49.6602][ 50.7463][ 51.9036][ 53.1356][ 54.4462][  55.839][ 57.3178][ 58.8864][ 60.5484][  62.307][ 64.1653][ 66.1256][ 68.1898][ 70.3588][ 72.6324][ 75.0092][ 77.4863][ 80.0593][ 82.7218][ 85.4658][ 88.2812][ 91.1563][ 94.0777][ 97.0308][     100]
[     100][ 97.1922][ 94.3982][ 91.6317][ 88.9054][ 86.2312][ 83.6193][ 81.0791][ 78.6179][ 76.2419][ 73.9554][ 71.7617][ 69.6627][ 67.6589][ 65.7503][ 63.9357][ 62.2135][ 60.5815][  59.037][ 57.5772][ 56.1989][  54.899][ 53.6743][ 52.5215][ 51.4375][ 50.4191][ 49.4633][ 48.5673][ 47.7284][ 46.9439][ 46.2113][ 45.5285][ 44.8931][ 44.3033][ 43.7572][  43.253][ 42.7891][ 42.3641][ 41.9767][ 41.6256][ 41.3098][ 41.0283][ 40.7801][ 40.5647][ 40.3812][ 40.2291][  40.108][ 40.0175][ 39.9573][ 39.9273][ 39.9273][ 39.9573][ 40.0175][ 40.1081][ 40.2292][ 40.3812][ 40.5647][ 40.7802][ 41.0284][ 41.3099][ 41.6257][ 41.9768][ 42.3643][ 42.7893][ 43.2531][ 43.7574][ 44.3035][ 44.8933][ 45.5287][ 46.2115][ 46.9441][ 47.7286][ 48.5676][ 49.4635][ 50.4193][ 51.4377][ 52.5218][ 53.6746][ 54.8993][ 56.1991][ 57.5774][ 59.0372][ 60.5817][ 62.2137][ 63.9359][ 65.7505][ 67.6591][ 69.6628][ 71.7619][ 73.9556][  76.242][ 78.6181][ 81.0792][ 83.6195][ 86.2312][ 88.9055][ 91.6318][ 94.3983][ 97.1922][     100]
[     100][ 97.3396][ 94.6913][  92.067][ 89.4778][ 86.9341][ 84.4454][ 82.0199][ 79.6646][  77.385][ 75.1859][ 73.0702][ 71.0403][ 69.0973][ 67.2414][ 65.4723][ 63.7887][ 62.1892][ 60.6717][  59.234][ 57.8735][ 56.5875][ 55.3734][ 54.2283][ 53.1494][ 52.1341][ 51.1797][ 50.2835][ 49.4432][ 48.6563][ 47.9206][  47.234][ 46.5944][ 46.0001][ 45.4492][ 44.9402][ 44.4715][ 44.0418][ 43.6499][ 43.2944][ 42.9745][ 42.6892][ 42.4376][  42.219][ 42.0329][ 41.8785][ 41.7556][ 41.6637][ 41.6026][ 41.5721][ 41.5721][ 41.6026][ 41.6638][ 41.7557][ 41.8786][ 42.0329][ 42.2191][ 42.4377][ 42.6893][ 42.9746][ 43.2946][   43.65][  44.042][ 44.4717][ 44.9404][ 45.4494][ 46.0003][ 46.5946][ 47.2342][ 47.9208][ 48.6565][ 49.4434][ 50.2838][ 51.1799][ 52.1344][ 53.1497][ 54.2285][ 55.3736][ 56.5877][ 57.8737][ 59.2342][ 60.6719][ 62.1894][ 63.7889][ 65.4725][ 67.2416][ 69.0975][ 71.0405][ 73.0704][  75.186][ 77.3852][ 79.6647][   82.02][ 84.4455][ 86.9342][ 89.4778][  92.067][ 94.6914][ 97.3396][     100]
[     100][ 97.4749][ 94.9605][ 92.4671][ 90.0045][ 87.5822][ 85.2084][ 82.8906][ 80.6353][ 78.4479][ 76.3327][  74.293][ 72.3311][ 70.4485][ 68.6459][ 66.9232][ 65.2799][ 63.7149][ 62.2267][ 60.8136][ 59.4735][ 58.2042][ 57.0034][ 55.8687][ 54.7979][ 53.7883][ 52.8378][ 51.9439][ 51.1046][ 50.3175][ 49.5808][ 48.8924][ 48.2505][ 47.6534][ 47.0994][ 46.5871][  46.115][ 45.6819][ 45.2865][ 44.9277][ 44.6047][ 44.3164][ 44.0621][ 43.8411][ 43.6528][ 43.4966][ 43.3722][ 43.2792][ 43.2173][ 43.1864][ 43.1864][ 43.2173][ 43.2792][ 43.3722][ 43.4967][ 43.6528][ 43.8412][ 44.0622][ 44.3165][ 44.6048][ 44.9279][ 45.2866][  45.682][ 46.1152][ 46.5873][ 47.0996][ 47.6536][ 48.2507][ 48.8926][  49.581][ 50.3178][ 51.1048][ 51.9442][  52.838][ 53.7885][ 54.7981][  55.869][ 57.0036][ 58.2044][ 59.4737][ 60.8138][  62.227][ 63.7151][ 65.2801][ 66.9234][ 68.6461][ 70.4487][ 72.3313][ 74.2932][ 76.3329][ 78.4481][ 80.6355][ 82.8907][ 85.2085][ 87.5823][ 90.0046][ 92.4671][ 94.9606][  97.475][     100]
[     100][ 97.5997][ 95.2087][ 92.8363][ 90.4911][ 88.1816][ 85.9152][ 83.6988][ 81.5382][ 79.4386][ 77.4041][  75.438][ 73.5426][ 71.7198][ 69.9704][ 68.2948][ 66.6928][ 65.1638][ 63.7067][ 62.3202][ 61.0027][ 59.7523][ 58.5673][ 57.4455][ 56.3849][ 55.3835][ 54.4392][ 53.5499][ 52.7136][ 51.9285][ 51.1927][ 50.5044][ 49.8619][ 49.2636][  48.708][ 48.1938][ 47.7196][ 47.2842][ 46.8865][ 46.5254][ 46.2001][ 45.9096][ 45.6533][ 45.4304][ 45.2405][  45.083][ 44.9574][ 44.8635][ 44.8011][ 44.7699][ 44.7699][ 44.8011][ 44.8636][ 44.9575][  45.083][ 45.2406][ 45.4305][ 45.6534][ 45.9097][ 46.2002][ 46.5255][ 46.8866][ 47.2843][ 47.7198][  48.194][ 48.7082][ 49.2638][ 49.8621][ 50.5046][ 51.1929][ 51.9288][ 52.7139][ 53.5501][ 54.4394][ 55.3838][ 56.3852][ 57.4458][ 58.5675][ 59.7526][ 61.0029][ 62.3205][  63.707][ 65.1641][ 66.6931][  68.295][ 69.9706][   71.72][ 73.5428][ 75.4381][ 77.4043][ 79.4388][ 81.5384][ 83.6989][ 85.9153][ 88.1817][ 90.4912][ 92.8363][ 95.2087][ 97.5997][     100]
[     100][  97.715][ 95.4384][ 93.1781][ 90.9422][ 88.7379][ 86.5722][ 84.4511][ 82.3802][ 80.3642][ 78.4071][ 76.5121][ 74.6817][ 72.9176][ 71.2211][ 69.5928][ 68.0328][ 66.5408][ 65.1162][ 63.7579][ 62.4647][ 61.2353][ 60.0679][ 58.9611][ 57.9129][ 56.9217][ 55.9856][ 55.1028][ 54.2716][ 53.4903][ 52.7571][ 52.0705][  51.429][ 50.8311][ 50.2753][ 49.7605][ 49.2854][ 48.8488][ 48.4498][ 48.0874][ 47.7606][ 47.4687][ 47.2111][  46.987][ 46.7959][ 46.6373][  46.511][ 46.4165][ 46.3536][ 46.3222][ 46.3222][ 46.3536][ 46.4165][  46.511][ 46.6374][  46.796][  46.987][ 47.2112][ 47.4688][ 47.7607][ 48.0875][   48.45][  48.849][ 49.2856][ 49.7607][ 50.2755][ 50.8313][ 51.4292][ 52.0707][ 52.7573][ 53.4905][ 54.2718][  55.103][ 55.9858][ 56.9219][ 57.9132][ 58.9613][ 60.0682][ 61.2355][  62.465][ 63.7581][ 65.1164][ 66.5411][  68.033][  69.593][ 71.2213][ 72.9178][ 74.6819][ 76.5123][ 78.4073][ 80.3644][ 82.3804][ 84.4512][ 86.5723][  88.738][ 90.9423][ 93.1782][ 95.4384][ 97.7151][     100]
[     100][ 97.8221][ 95.6516][ 93.4957][ 91.3616][ 89.2557][ 87.1844][ 85.1532][ 83.1673][  81.231][ 79.3481][ 77.5217][ 75.7543][ 74.0478][ 72.4036][ 70.8225][ 69.3048][ 67.8505][ 66.4593][ 65.1304][ 63.8631][ 62.6561][ 61.5081][ 60.4179][  59.384][ 58.4047][ 57.4786][ 56.6042][ 55.7797][ 55.0038][ 54.2749][ 53.5917][ 52.9526][ 52.3563][ 51.8017][ 51.2875][ 50.8126][  50.376][ 49.9766][ 49.6136][ 49.2862][ 48.9937][ 48.7353][ 48.5105][ 48.3187][ 48.1596][ 48.0327][ 47.9378][ 47.8747][ 47.8432][ 47.8432][ 47.8747][ 47.9379][ 48.0328][ 48.1597][ 48.3188][ 48.5106][ 48.7354][ 48.9938][ 49.2864][ 49.6138][ 49.9768][ 50.3762][ 50.8128][ 51.2877][ 51.8019][ 52.3566][ 52.9528][ 53.5919][ 54.2752][ 55.0041][   55.78][ 56.6044][ 57.4789][  58.405][ 59.3842][ 60.4182][ 61.5084][ 62.6563][ 63.8633][ 65.1307][ 66.4595][ 67.8508][  69.305][ 70.8227][ 72.4039][ 74.0481][ 75.7545][ 77.5219][ 79.3483][ 81.2312][ 83.1675][ 85.1534][ 87.1845][ 89.2558][ 91.3617][ 93.4958][ 95.6516][ 97.8221][     100]
[     100][ 97.9218][ 95.8501][ 93.7917][ 91.7526][  89.739][ 87.7565][ 85.8102][ 83.9048][ 82.0444][ 80.2325][ 78.4723][ 76.7661][ 75.1159][ 73.5231][ 71.9887][ 70.5134][ 69.0972][   67.74][ 66.4415][ 65.2011][ 64.0178][ 62.8907][ 61.8186][ 60.8003][ 59.8346][ 58.9201][ 58.0555][ 57.2394][ 56.4704][ 55.7472][ 55.0686][ 54.4333][ 53.8401][ 53.2878][ 52.7753][ 52.3017][ 51.8659][ 51.4671][ 51.1044][ 50.7771][ 50.4845][  50.226][ 50.0009][  49.809][ 49.6496][ 49.5225][ 49.4275][ 49.3642][ 49.3326][ 49.3326][ 49.3642][ 49.4275][ 49.5226][ 49.6497][  49.809][  50.001][ 50.2261][ 50.4846][ 50.7773][ 51.1046][ 51.4672][ 51.8661][ 52.3019][ 52.7755][  53.288][ 53.8403][ 54.4335][ 55.0689][ 55.7475][ 56.4706][ 57.2396][ 58.0558][ 58.9204][ 59.8349][ 60.8006][ 61.8189][ 62.8909][ 64.0181][ 65.2013][ 66.4418][ 67.7403][ 69.0974][ 70.5136][  71.989][ 73.5233][ 75.1161][ 76.7663][ 78.4725][ 80.2327][ 82.0445][ 83.9049][ 85.8103][ 87.7566][ 89.7391][ 91.7527][ 93.7917][ 95.8502][ 97.9218][     100]
[     100][ 98.0148][ 96.0356][ 94.0681][ 92.1182][ 90.1913][ 88.2924][ 86.4262][ 84.5972][ 82.8091][ 81.0654][ 79.3688][ 77.7219][ 76.1265][ 74.5842][  73.096][ 71.6628][ 70.2848][ 68.9621][ 67.6947][ 66.4819][ 65.3234][ 64.2181][ 63.1654][ 62.1642][ 61.2133][ 60.3118][ 59.4584][ 58.6519][ 57.8912][  57.175][ 56.5024][  55.872][ 55.2829][  54.734][ 54.2243][ 53.7529][ 53.3189][ 52.9214][ 52.5598][ 52.2333][ 51.9413][ 51.6832][ 51.4584][ 51.2666][ 51.1074][ 50.9804][ 50.8853][ 50.8221][ 50.7905][ 50.7905][ 50.8221][ 50.8854][ 50.9804][ 51.1075][ 51.2667][ 51.4585][ 51.6833][ 51.9414][ 52.2335][   52.56][ 52.9216][ 53.3191][ 53.7531][ 54.2245][ 54.7342][ 55.2831][ 55.8722][ 56.5026][ 57.1753][ 57.8914][ 58.6522][ 59.4586][ 60.3121][ 61.2136][ 62.1645][ 63.1657][ 64.2184][ 65.3236][ 66.4822][ 67.6949][ 68.9624][  70.285][  71.663][ 73.0963][ 74.5844][ 76.1267][ 77.7221][  79.369][ 81.0656][ 82.8093][ 84.5974][ 86.4264][ 88.2925][ 90.1914][ 92.1183][ 94.0682][ 96.0356][ 98.0148][     100]
[     100][ 98.1019][ 96.2092][ 94.3271][ 92.4609][ 90.6155][ 88.7954][ 87.0052][ 85.2488][ 83.5296][ 81.8511][ 80.2158][ 78.6261][ 77.0841][ 75.5911][ 74.1484][ 72.7569][ 71.4171][ 70.1291][  68.893][ 67.7087][ 66.5756][ 65.4932][ 64.4608][ 63.4776][ 62.5428][ 61.6554][ 60.8143][ 60.0187][ 59.2674][ 58.5594][ 57.8938][ 57.2695][ 56.6855][  56.141][  55.635][ 55.1667][ 54.7353][   54.34][ 53.9802][ 53.6551][ 53.3642][  53.107][  52.883][ 52.6918][  52.533][ 52.4063][ 52.3115][ 52.2484][ 52.2168][ 52.2168][ 52.2484][ 52.3115][ 52.4063][  52.533][ 52.6919][ 52.8831][ 53.1071][ 53.3644][ 53.6552][ 53.9803][ 54.3402][ 54.7355][ 55.1669][ 55.6352][ 56.1412][ 56.6858][ 57.2697][  57.894][ 58.5597][ 59.2676][ 60.0189][ 60.8146][ 61.6557][ 62.5431][ 63.4779][ 64.4611][ 65.4935][ 66.5759][  67.709][ 68.8933][ 70.1294][ 71.4173][ 72.7572][ 74.1487][ 75.5914][ 77.0843][ 78.6264][  80.216][ 81.8513][ 83.5298][ 85.2489][ 87.0054][ 88.7956][ 90.6156][  92.461][ 94.3272][ 96.2092][ 98.1019][     100]
[     100][ 98.1836][ 96.3721][ 94.5703][ 92.7828][ 91.0142][ 89.2688][ 87.5504][ 85.8629][ 84.2096][ 82.5935][ 81.0171][ 79.4828][ 77.9925][ 76.5477][ 75.1497][ 73.7994][ 72.4975][ 71.2442][ 70.0398][ 68.8842][ 67.7771][ 66.7182][  65.707][ 64.7428][ 63.8249][ 62.9526][ 62.1249][ 61.3411][ 60.6003][ 59.9015][ 59.2439][ 58.6266][ 58.0488][ 57.5095][ 57.0081][ 56.5437][ 56.1156][ 55.7232][ 55.3658][ 55.0427][ 54.7535][ 54.4977][ 54.2749][ 54.0845][ 53.9265][ 53.8003][ 53.7059][ 53.6431][ 53.6117][ 53.6117][ 53.6431][  53.706][ 53.8004][ 53.9265][ 54.0846][  54.275][ 54.4978][ 54.7537][ 55.0429][ 55.3659][ 55.7234][ 56.1158][ 56.5439][ 57.0083][ 57.5098][  58.049][ 58.6269][ 59.2442][ 59.9018][ 60.6005][ 61.3414][ 62.1252][ 62.9529][ 63.8252][ 64.7431][ 65.7073][ 66.7185][ 67.7774][ 68.8845][ 70.0401][ 71.2445][ 72.4977][ 73.7997][   75.15][  76.548][ 77.9928][ 79.4831][ 81.0173][ 82.5937][ 84.2098][ 85.8631][ 87.5506][ 89.2689][ 91.0143][ 92.7829][ 94.5704][ 96.3722][ 98.1836][     100]
