[       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0]
[     100][ 97.1928][ 94.3998][ 91.6344][ 88.9097][ 86.2376][ 83.6286][ 81.0919][ 78.6353][ 76.2647][  73.985][ 71.7993][ 69.7096][ 67.7167][ 65.8207][ 64.0205][ 62.3146][ 60.7009][  59.177][   57.74][ 56.3872][ 55.1153][ 53.9214][ 52.8024][ 51.7552][ 50.7769][ 49.8646][ 49.0158][ 48.2277][ 47.4981][ 46.8246][ 46.2051][ 45.6378][ 45.1208][ 44.6525][ 44.2314][ 43.8562][ 43.5258][ 43.2389][ 42.9949][ 42.7928][ 42.6321][ 42.5122][ 42.4328][ 42.3935][ 42.3944][ 42.4353][ 42.5164][  42.638][ 42.8004][ 43.0041][ 43.2497][ 43.5381][ 43.8701][ 44.2467][ 44.6692][ 45.1388][ 45.6571][ 46.2256][ 46.8461][ 47.5206][ 48.2512][ 49.0401][ 49.8897][ 50.8026][ 51.7814][  52.829][ 53.9483][ 55.1424][ 56.4143][ 57.7671][ 59.2038][ 60.7274][ 62.3406][ 64.0459][ 65.8454][ 67.7406][ 69.7324][ 71.8209][ 74.0054][ 76.2837][ 78.6526][ 81.1076][ 83.6424][ 86.2494][ 88.9195][ 91.6419][ 94.4049][ 97.1955][     100]
[     100][ 97.3403][  94.693][ 92.0699][ 89.4823][ 86.9409][ 84.4551][ 82.0333][ 79.6826][ 77.4089][ 75.2166][ 73.1092][ 71.0889][ 69.1572][ 67.3143][ 65.5599][ 63.8931][ 62.3125][ 60.8162][  59.402][ 58.0676][ 56.8104][ 55.6279][ 54.5175][ 53.4764][ 52.5023][ 51.5925][ 50.7446][ 49.9565][ 49.2258][ 48.5506][ 47.9289][ 47.3589][ 46.8391][ 46.3678][ 45.9438][ 45.5657][ 45.2324][ 44.9431][ 44.6968][ 44.4928][ 44.3305][ 44.2094][ 44.1292][ 44.0895][ 44.0904][ 44.1318][ 44.2138][ 44.3366][ 44.5006][ 44.7063][ 44.9543][ 45.2453][   45.58][ 45.9596][ 46.3851][ 46.8578][ 47.3789][ 47.9501][ 48.5729][ 49.2492][ 49.9808][ 50.7699][ 51.6185][ 52.5289][ 53.5036][ 54.5451][ 55.6558][ 56.8385][ 58.0957][ 59.4301][  60.844][   62.34][ 63.9202][ 65.5863][ 67.3399][ 69.1819][ 71.1126][ 73.1317][ 75.2377][ 77.4285][ 79.7007][ 82.0496][ 84.4695][ 86.9532][ 89.4924][ 92.0776][ 94.6983][ 97.3431][     100]
[     100][ 97.4757][ 94.9623][ 92.4702][ 90.0094][ 87.5893][ 85.2185][ 82.9047][ 80.6542][ 78.4727][ 76.3646][ 74.3334][ 72.3815][ 70.5104][ 68.7211][ 67.0137][ 65.3876][  63.842][ 62.3755][ 60.9865][ 59.6731][ 58.4333][  57.265][ 56.1658][ 55.1336][ 54.1662][ 53.2613][ 52.4169][ 51.6308][ 50.9013][ 50.2263][ 49.6042][ 49.0333][ 48.5122][ 48.0393][ 47.6136][ 47.2338][ 46.8988][ 46.6078][   46.36][ 46.1547][ 45.9913][ 45.8693][ 45.7886][ 45.7487][ 45.7496][ 45.7913][ 45.8739][ 45.9976][ 46.1628][ 46.3699][ 46.6194][  46.912][ 47.2486][   47.63][ 48.0573][ 48.5315][  49.054][ 49.6261][ 50.2494][ 50.9255][ 51.6561][  52.443][ 53.2882][ 54.1938][ 55.1618][ 56.1944][ 57.2939][ 58.4624][ 59.7023][ 61.0156][ 62.4043][ 63.8704][ 65.4155][  67.041][ 68.7476][  70.536][  72.406][ 74.3567][ 76.3865][ 78.4931][ 80.6729][ 82.9215][ 85.2334][ 87.6021][ 90.0198][ 92.4782][ 94.9678][ 97.4786][     100]
[     100][ 97.6005][ 95.2106][ 92.8396][ 90.4963][ 88.1892][  85.926][ 83.7135][ 81.5579][ 79.4644][ 77.4372][ 75.4798][ 73.5947][ 71.7837][  70.048][  68.388][ 66.8037][ 65.2945][ 63.8596][ 62.4978][ 61.2077][ 59.9875][ 58.8355][   57.75][ 56.7289][ 55.7705][ 54.8727][ 54.0338][  53.252][ 52.5254][ 51.8525][ 51.2316][ 50.6614][ 50.1404][ 49.6674][ 49.2411][ 48.8606][ 48.5248][  48.233][ 47.9844][ 47.7784][ 47.6143][ 47.4919][ 47.4108][ 47.3708][ 47.3717][ 47.4136][ 47.4966][ 47.6209][ 47.7868][ 47.9946][  48.245][ 48.5385][ 48.8759][  49.258][ 49.6858][ 50.1604][ 50.6828][ 51.2543][ 51.8764][ 52.5504][  53.278][ 54.0608][ 54.9005][  55.799][  56.758][ 57.7795][ 58.8654][ 60.0175][ 61.2377][ 62.5278][ 63.8894][ 65.3239][ 66.8325][ 68.4162][ 70.0754][ 71.8101][   73.62][ 75.5038][ 77.4598][ 79.4854][ 81.5772][ 83.7309][ 85.9413][ 88.2023][ 90.5071][ 92.8479][ 95.2163][ 97.6034][     100]
[     100][  97.716][ 95.4404][ 93.1817][ 90.9477][  88.746][ 86.5835][ 84.4666][ 82.4008][ 80.3911][ 78.4415][ 76.5555][ 74.7355][ 72.9836][ 71.3011][ 69.6887][ 68.1468][ 66.6751][ 65.2731][   63.94][ 62.6748][ 61.4761][ 60.3425][ 59.2726][ 58.2647][ 57.3172][ 56.4285][  55.597][ 54.8211][ 54.0993][   53.43][  52.812][ 52.2438][ 51.7243][ 51.2522][ 50.8266][ 50.4464][ 50.1107][ 49.8189][ 49.5701][ 49.3639][ 49.1996][ 49.0771][ 48.9959][ 48.9558][ 48.9568][ 48.9988][ 49.0819][ 49.2064][ 49.3725][ 49.5806][ 49.8312][ 50.1248][ 50.4622][  50.844][ 51.2713][ 51.7449][ 52.2658][ 52.8353][ 53.4546][  54.125][ 54.8479][ 55.6248][ 56.4571][ 57.3465][ 58.2946][  59.303][ 60.3732][  61.507][ 62.7058][ 63.9709][ 65.3038][ 66.7053][ 68.1765][ 69.7178][ 71.3293][ 73.0108][ 74.7615][ 76.5802][ 78.4648][ 80.4127][ 82.4206][ 84.4844][ 86.5993][ 88.7595][ 90.9588][ 93.1903][ 95.4463][  97.719][     100]
[     100][ 97.8231][ 95.6538][ 93.4996][ 91.3674][ 89.2643][ 87.1963][ 85.1695][ 83.1888][  81.259][ 79.3838][ 77.5666][   75.81][ 74.1159][  72.486][ 70.9211][ 69.4218][ 67.9883][ 66.6201][  65.317][  64.078][ 62.9023][ 61.7888][ 60.7361][  59.743][ 58.8082][ 57.9303][ 57.1079][ 56.3395][  55.624][ 54.9599][ 54.3461][ 53.7813][ 53.2644][ 52.7945][ 52.3704][ 51.9914][ 51.6567][ 51.3655][ 51.1172][ 50.9113][ 50.7473][ 50.6249][ 50.5437][ 50.5037][ 50.5047][ 50.5467][ 50.6298][ 50.7542][ 50.9202][  51.128][ 51.3782][ 51.6712][ 52.0077][ 52.3884][  52.814][ 53.2856][ 53.8039][ 54.3701][ 54.9852][ 55.6505][ 56.3671][ 57.1364][ 57.9597][ 58.8384][ 59.7738][ 60.7673][ 61.8203][ 62.9341][ 64.1099][ 65.3487][ 66.6516][ 68.0194][ 69.4524][  70.951][  72.515][ 74.1439][ 75.8367][  77.592][ 79.4077][ 81.2812][ 83.2092][ 85.1879][ 87.2126][ 89.2782][ 91.3789][ 93.5084][ 95.6599][ 97.8262][     100]
[     100][ 97.9229][ 95.8526][ 93.7958][ 91.7589][ 89.7481][ 87.7691][ 85.8273][ 83.9273][ 82.0735][ 80.2697][ 78.5188][ 76.8236][ 75.1861][ 73.6079][ 72.0901][ 70.6335][ 69.2384][ 67.9047][ 66.6324][ 65.4208][ 64.2693][  63.177][ 62.1431][ 61.1663][ 60.2457][   59.38][  58.568][ 57.8087][ 57.1008][ 56.4432][ 55.8348][ 55.2746][ 54.7615][ 54.2946][ 53.8731][ 53.4962][ 53.1631][ 52.8732][  52.626][ 52.4208][ 52.2574][ 52.1354][ 52.0546][ 52.0147][ 52.0158][ 52.0577][ 52.1406][ 52.2646][   52.43][  52.637][ 52.8862][  53.178][ 53.5129][ 53.8915][ 54.3147][ 54.7832][ 55.2978][ 55.8594][ 56.4692][  57.128][  57.837][ 58.5973][ 59.4101][ 60.2766][ 61.1979][ 62.1751][ 63.2094][ 64.3019][ 65.4535][ 66.6649][ 67.9371][ 69.2703][ 70.6649][ 72.1208][ 73.6376][ 75.2148][ 76.8511][ 78.5449][ 80.2942][ 82.0963][ 83.9482][ 85.8461][ 87.7858][ 89.7624][ 91.7707][ 93.8048][ 95.8588][  97.926][     100]
[     100][  98.016][ 96.0383][ 94.0726][  92.125][  90.201][ 88.3058][ 86.4443][ 84.6209][ 82.8396][  81.104][ 79.4171][ 77.7813][ 76.1989][ 74.6715][ 73.2002][  71.786][ 70.4294][ 69.1307][ 67.8897][ 66.7063][ 65.5799][ 64.5101][ 63.4959][ 62.5367][ 61.6315][ 60.7793][ 59.9791][   59.23][  58.531][  57.881][ 57.2792][ 56.7246][ 56.2162][ 55.7534][ 55.3353][ 54.9612][ 54.6304][ 54.3425][ 54.0967][ 53.8928][ 53.7304][ 53.6091][ 53.5287][  53.489][ 53.4901][ 53.5318][ 53.6143][ 53.7377][ 53.9022][ 54.1081][ 54.3558][ 54.6456][ 54.9782][ 55.3541][  55.774][ 56.2384][ 56.7483][ 57.3044][ 57.9076][ 58.5588][  59.259][ 60.0091][ 60.8102][ 61.6631][  62.569][ 63.5287][ 64.5432][ 65.6133][ 66.7397][ 67.9231][ 69.1638][ 70.4621][ 71.8181][ 73.2316][ 74.7019][ 76.2283][ 77.8095][ 79.4438][ 81.1291][  82.863][ 84.6423][ 86.4636][ 88.3228][ 90.2156][  92.137][ 94.0819][ 96.0446][ 98.0193][     100]
[     100][ 98.1033][ 96.2121][  94.332][ 92.4682][ 90.6259][ 88.8097][ 87.0242][ 85.2736][ 83.5615][ 81.8913][ 80.2658][ 78.6876][ 77.1588][  75.681][ 74.2555][ 72.8833][ 71.5652][ 70.3015][ 69.0923][ 67.9376][ 66.8371][ 65.7905][ 64.7971][ 63.8564][ 62.9676][   62.13][ 61.3427][  60.605][ 59.9159][ 59.2746][ 58.6803][ 58.1322][ 57.6295][ 57.1715][ 56.7575][ 56.3869][ 56.0591][ 55.7736][ 55.5299][ 55.3277][ 55.1665][ 55.0461][ 54.9663][  54.927][  54.928][ 54.9695][ 55.0514][ 55.1739][ 55.3372][ 55.5415][ 55.7872][ 56.0747][ 56.4044][ 56.7768][ 57.1925][ 57.6522][ 58.1564][  58.706][ 59.3017][ 59.9443][ 60.6346][ 61.3734][ 62.1616][      63][ 63.8894][ 64.8306][ 65.8244][ 66.8712][ 67.9718][ 69.1264][ 70.3353][ 71.5986][ 72.9161][ 74.2875][ 75.7121][ 77.1888][ 78.7164][ 80.2931][  81.917][ 83.5854][ 85.2955][  87.044][ 88.8271][ 90.6408][ 92.4805][ 94.3415][ 96.2186][ 98.1066][     100]
[     100][ 98.1851][ 96.3754][ 94.5756][ 92.7908][ 91.0254][  89.284][ 87.5706][ 85.8891][  84.243][ 82.6354][ 81.0691][ 79.5465][ 78.0697][ 76.6403][ 75.2597][ 73.9291][ 72.6491][ 71.4204][ 70.2432][ 69.1176][ 68.0435][ 67.0208][ 66.0489][ 65.1275][ 64.2561][  63.434][ 62.6605][  61.935][ 61.2567][  60.625][ 60.0391][ 59.4984][ 59.0021][ 58.5497][ 58.1406][ 57.7741][ 57.4499][ 57.1673][  56.926][ 56.7257][ 56.5661][ 56.4468][ 56.3678][ 56.3289][   56.33][ 56.3711][ 56.4523][ 56.5737][ 56.7355][ 56.9379][ 57.1812][ 57.4657][ 57.7919][ 58.1602][ 58.5712][ 59.0253][ 59.5231][ 60.0654][ 60.6527][ 61.2857][ 61.9652][ 62.6918][ 63.4662][ 64.2891][ 65.1612][ 66.0831][ 67.0553][ 68.0783][ 69.1525][  70.278][ 71.4549][ 72.6832][ 73.9626][ 75.2924][  76.672][ 78.1003][ 79.5758][  81.097][ 82.6616][ 84.2674][ 85.9115][ 87.5907][ 89.3018][ 91.0407][ 92.8033][ 94.5853][  96.382][ 98.1885][     100]
[     100][ 98.2622][  96.529][ 94.8049][ 93.0945][ 91.4019][ 89.7312][ 88.0863][ 86.4706][ 84.8875][ 83.3399][ 81.8305][ 80.3616][ 78.9352][  77.553][ 76.2165][ 74.9267][ 73.6845][ 72.4906][ 71.3454][ 70.2491][ 69.2018][ 68.2033][ 67.2536][ 66.3522][ 65.4988][ 64.6929][  63.934][ 63.2215][ 62.5549][ 61.9335][ 61.3568][ 60.8242][ 60.3351][ 59.8889][ 59.4852][ 59.1235][ 58.8032][  58.524][ 58.2856][ 58.0876][ 57.9298][ 57.8119][ 57.7337][ 57.6952][ 57.6963][ 57.7371][ 57.8174][ 57.9375][ 58.0975][ 58.2977][ 58.5382][ 58.8194][ 59.1416][ 59.5052][ 59.9108][ 60.3587][ 60.8494][ 61.3836][ 61.9618][ 62.5845][ 63.2523][ 63.9659][ 64.7257][ 65.5325][ 66.3865][ 67.2884][ 68.2386][ 69.2372][ 70.2846][ 71.3808][ 72.5257][ 73.7192][ 74.9608][ 76.2498][ 77.5854][ 78.9664][ 80.3915][ 81.8589][ 83.3666][ 84.9123][ 86.4933][ 88.1068][ 89.7493][ 91.4174][ 93.1073][ 94.8148][ 96.5357][ 98.2656][     100]
[     100][ 98.3348][ 96.6738][ 95.0212][ 93.3811][ 91.7574][ 90.1538][ 88.5738][ 87.0209][  85.498][ 84.0079][ 82.5532][ 81.1361][ 79.7586][ 78.4224][ 77.1288][ 75.8791][ 74.6743][ 73.5149][ 72.4016][ 71.3346][ 70.3143][ 69.3405][ 68.4133][ 67.5324][ 66.6976][ 65.9086][ 65.1649][ 64.4661][ 63.8118][ 63.2014][ 62.6346][ 62.1107][ 61.6293][   61.19][ 60.7922][ 60.4357][ 60.1199][ 59.8445][ 59.6093][ 59.4139][  59.258][ 59.1416][ 59.0645][ 59.0265][ 59.0277][ 59.0679][ 59.1473][ 59.2659][ 59.4239][ 59.6215][ 59.8589][ 60.1363][ 60.4541][ 60.8126][ 61.2122][ 61.6533][ 62.1363][ 62.6618][ 63.2301][ 63.8419][ 64.4974][ 65.1973][  65.942][ 66.7318][ 67.5673][ 68.4487][ 69.3763][ 70.3503][ 71.3708][ 72.4376][ 73.5506][ 74.7096][ 75.9138][ 77.1627][ 78.4553][ 79.7904][ 81.1665][ 82.5821][  84.035][ 85.5232][  87.044][ 88.5947][ 90.1722][ 91.7732][ 93.3941][ 95.0312][ 96.6806][ 98.3383][     100]
[     100][ 98.4034][ 96.8107][ 95.2257][ 93.6521][ 92.0937][ 90.5538][ 89.0357][ 87.5425][ 86.0771][ 84.6422][ 83.2402][ 81.8731][ 80.5429][ 79.2514][ 77.9998][ 76.7894][ 75.6212][  74.496][ 73.4144][ 72.3767][ 71.3834][ 70.4345][ 69.5301][ 68.6701][ 67.8544][ 67.0827][ 66.3547][ 65.6702][ 65.0287][   64.43][ 63.8735][ 63.3589][ 62.8858][ 62.4538][ 62.0625][ 61.7115][ 61.4006][ 61.1294][ 60.8976][ 60.7051][ 60.5515][ 60.4368][ 60.3607][ 60.3233][ 60.3245][ 60.3642][ 60.4425][ 60.5595][ 60.7153][ 60.9101][  61.144][ 61.4173][ 61.7303][ 62.0832][ 62.4764][ 62.9102][  63.385][ 63.9012][ 64.4591][ 65.0593][  65.702][ 66.3876][ 67.1165][ 67.8891][ 68.7055][ 69.5661][ 70.4709][   71.42][ 72.4134][ 73.4509][ 74.5323][ 75.6571][ 76.8246][ 78.0342][ 79.2848][ 80.5752][ 81.9039][ 83.2695][ 84.6698][ 86.1028][  87.566][ 89.0569][ 90.5725][ 92.1097][ 93.6653][ 95.2358][ 96.8176][ 98.4069][     100]
[     100][ 98.4683][ 96.9402][ 95.4192][ 93.9088][ 92.4124][  90.933][ 89.4738][ 88.0378][ 86.6275][ 85.2454][  83.894][ 82.5752][ 81.2909][ 80.0427][  78.832][ 77.6601][  76.528][ 75.4364][ 74.3862][ 73.3777][ 72.4113][ 71.4874][  70.606][ 69.7671][ 68.9708][ 68.2168][  67.505][ 66.8352][ 66.2071][ 65.6204][ 65.0748][   64.57][ 64.1056][ 63.6813][ 63.2969][ 62.9519][ 62.6462][ 62.3795][ 62.1515][  61.962][ 61.8108][ 61.6979][ 61.6231][ 61.5863][ 61.5874][ 61.6266][ 61.7037][  61.819][ 61.9724][ 62.1641][ 62.3943][ 62.6631][ 62.9709][ 63.3178][ 63.7042][ 64.1303][ 64.5964][ 65.1028][   65.65][ 66.2381][ 66.8674][ 67.5384][ 68.2512][  69.006][ 69.8031][ 70.6425][ 71.5243][ 72.4485][ 73.4149][ 74.4233][ 75.4732][ 76.5643][ 77.6958][ 78.8669][ 80.0766][ 81.3236][ 82.6065][ 83.9237][ 85.2734][ 86.6534][ 88.0616][ 89.4953][  90.952][ 92.4286][ 93.9222][ 95.4295][ 96.9472][ 98.4719][     100]
[     100][ 98.5298][  97.063][ 95.6028][ 94.1524][ 92.7149][ 91.2932][ 89.8902][ 88.5086][ 87.1511][ 85.8198][ 84.5171][ 83.2449][ 82.0049][ 80.7988][  79.628][ 78.4937][ 77.3969][ 76.3385][ 75.3192][ 74.3397][ 73.4002][ 72.5012][ 71.6429][ 70.8253][ 70.0486][ 69.3126][ 68.6173][ 67.9626][ 67.3482][ 66.7739][ 66.2396][ 65.7449][ 65.2897][ 64.8735][ 64.4963][ 64.1577][ 63.8575][ 63.5955][ 63.3714][ 63.1852][ 63.0367][ 62.9257][ 62.8521][  62.816][ 62.8171][ 62.8557][ 62.9316][ 63.0449][ 63.1957][ 63.3842][ 63.6104][ 63.8746][ 64.1769][ 64.5175][ 64.8967][ 65.3147][ 65.7717][  66.268][ 66.8039][ 67.3795][ 67.9952][ 68.6511][ 69.3474][ 70.0842][ 70.8617][ 71.6798][ 72.5386][ 73.4378][ 74.3773][ 75.3568][ 76.3758][ 77.4337][ 78.5299][ 79.6634][ 80.8331][  82.038][ 83.2766][ 84.5472][ 85.8481][ 87.1774][ 88.5328][  89.912][ 91.3124][ 92.7313][ 94.1659][ 95.6133][ 97.0702][ 98.5335][     100]
[     100][ 98.5883][ 97.1797][ 95.7773][ 94.3839][ 93.0024][ 91.6357][ 90.2864][  88.957][   87.65][ 86.3675][ 85.1117][ 83.8844][ 82.6873][ 81.5221][ 80.3901][ 79.2925][ 78.2303][ 77.2045][ 76.2157][ 75.2648][  74.352][ 73.4778][ 72.6426][ 71.8464][ 71.0894][ 70.3716][ 69.6931][ 69.0537][ 68.4533][ 67.8918][ 67.3691][ 66.8849][ 66.4391][ 66.0314][ 65.6617][ 65.3297][ 65.0352][ 64.7782][ 64.5583][ 64.3756][ 64.2298][ 64.1208][ 64.0486][ 64.0131][ 64.0143][ 64.0522][ 64.1268][ 64.2381][ 64.3862][ 64.5713][ 64.7933][ 65.0526][ 65.3491][ 65.6831][ 66.0548][ 66.4644][  66.912][ 67.3978][ 67.9221][  68.485][ 69.0867][ 69.7272][ 70.4068][ 71.1254][ 71.8832][ 72.6799][ 73.5156][   74.39][ 75.3028][ 76.2537][ 77.2422][ 78.2675][  79.329][ 80.4258][ 81.5568][ 82.7208][ 83.9164][ 85.1421][ 86.3961][ 87.6766][ 88.9814][ 90.3084][ 91.6551][ 93.0191][ 94.3976][ 95.7878][ 97.1869][  98.592][     100]
[     100][ 98.6439][ 97.2907][ 95.9432][ 94.6042][ 93.2762][  91.962][  90.664][ 89.3845][  88.126][ 86.8903][ 85.6797][ 84.4957][ 83.3402][ 82.2146][ 81.1203][ 80.0585][ 79.0302][ 78.0363][ 77.0776][ 76.1549][ 75.2686][ 74.4191][ 73.6068][  72.832][ 72.0948][ 71.3954][ 70.7337][ 70.1099][ 69.5238][ 68.9753][ 68.4645][  67.991][ 67.5549][ 67.1559][ 66.7939][ 66.4688][ 66.1803][ 65.9284][  65.713][ 65.5338][ 65.3909][  65.284][ 65.2132][ 65.1785][ 65.1797][ 65.2169][   65.29][ 65.3992][ 65.5445][  65.726][ 65.9437][ 66.1978][ 66.4884][ 66.8156][ 67.1796][ 67.5804][ 68.0183][ 68.4935][ 69.0059][ 69.5558][ 70.1432][ 70.7682][ 71.4309][ 72.1312][ 72.8692][ 73.6445][ 74.4572][ 75.3069][ 76.1933][  77.116][ 78.0744][ 79.0677][ 80.0954][ 81.1564][ 82.2497][  83.374][ 84.5281][ 85.7104][ 86.9192][ 88.1528][ 89.4092][ 90.6862][ 91.9816][  93.293][  94.618][ 95.9539][  97.298][ 98.6476][     100]
[     100][ 98.6969][ 97.3965][ 96.1014][ 94.8142][ 93.5373][ 92.2732][ 91.0243][ 89.7927][ 88.5806][ 87.3901][ 86.2229][ 85.0808][ 83.9655][ 82.8783][ 81.8207][ 80.7937][ 79.7985][ 78.8359][ 77.9068][ 77.0119][ 76.1517][ 75.3267][ 74.5373][ 73.7838][ 73.0664][ 72.3853][ 71.7407][ 71.1325][ 70.5608][ 70.0256][ 69.5268][ 69.0643][ 68.6381][  68.248][  67.894][ 67.5759][ 67.2937][ 67.0471][ 66.8361][ 66.6607][ 66.5207][ 66.4161][ 66.3468][ 66.3127][ 66.3139][ 66.3504][ 66.4221][ 66.5292][ 66.6715][ 66.8493][ 67.0625][ 67.3113][ 67.5957][ 67.9159][ 68.2719][ 68.6639][ 69.0919][  69.556][ 70.0564][ 70.5931][ 71.1661][ 71.7755][ 72.4212][ 73.1031][ 73.8212][ 74.5753][ 75.3651][ 76.1904][ 77.0507][ 77.9455][ 78.8743][ 79.8364][ 80.8309][  81.857][ 82.9136][ 83.9995][ 85.1134][ 86.2539][ 87.4192][ 88.6077][ 89.8175][ 91.0467][  92.293][ 93.5542][ 94.8281][ 96.1121][ 97.4038][ 98.7007][     100]
[     100][ 98.7474][ 97.4974][ 96.2523][ 95.0146][ 93.7865][ 92.5704][ 91.3685][ 90.1828][ 89.0154][ 87.8682][  86.743][ 85.6413][ 84.5649][  83.515][  82.493][    81.5][ 80.5371][ 79.6051][ 78.7051][ 77.8375][  77.003][ 76.2022][ 75.4355][ 74.7032][ 74.0056][ 73.3429][ 72.7153][ 72.1229][ 71.5657][ 71.0438][ 70.5572][ 70.1059][ 69.6898][ 69.3088][ 68.9629][  68.652][ 68.3761][  68.135][ 67.9287][ 67.7571][ 67.6201][ 67.5178][ 67.4499][ 67.4167][ 67.4179][ 67.4536][ 67.5239][ 67.6286][  67.768][ 67.9419][ 68.1505][ 68.3939][  68.672][ 68.9849][ 69.3328][ 69.7157][ 70.1337][ 70.5867][ 71.0749][ 71.5982][ 72.1567][ 72.7504][  73.379][ 74.0426][ 74.7409][ 75.4738][  76.241][  77.042][ 77.8765][  78.744][ 79.6438][ 80.5752][ 81.5375][ 82.5296][ 83.5505][ 84.5992][ 85.6742][ 86.7742][ 87.8976][ 89.0427][ 90.2078][ 91.3911][ 92.5904][ 93.8036][ 95.0286][ 96.2631][ 97.5048][ 98.7512][     100]
[     100][ 98.7957][ 97.5938][ 96.3965][ 95.2061][ 94.0248][ 92.8547][ 91.6978][ 90.5562][ 89.4317][ 88.3262][ 87.2414][ 86.1788][   85.14][ 84.1262][ 83.1388][ 82.1789][ 81.2476][ 80.3456][  79.474][ 78.6333][ 77.8242][ 77.0473][  76.303][ 75.5918][ 74.9138][ 74.2695][ 73.6589][ 73.0823][ 72.5397][ 72.0312][ 71.5569][ 71.1168][ 70.7109][ 70.3392][ 70.0015][  69.698][ 69.4285][  69.193][ 68.9914][ 68.8237][ 68.6899][ 68.5898][ 68.5236][ 68.4911][ 68.4923][ 68.5273][  68.596][ 68.6985][ 68.8347][ 69.0047][ 69.2086][ 69.4464][ 69.7181][ 70.0237][ 70.3633][  70.737][ 71.1448][ 71.5866][ 72.0625][ 72.5724][ 73.1163][ 73.6941][ 74.3058][  74.951][ 75.6297][ 76.3416][ 77.0863][ 77.8634][ 78.6726][ 79.5131][ 80.3845][ 81.2859][ 82.2167][ 83.1757][  84.162][ 85.1745][ 86.2119][ 87.2728][ 88.3558][ 89.4592][ 90.5814][ 91.7205][ 92.8747][  94.042][ 95.2202][ 96.4074][ 97.6012][ 98.7995][     100]
[     100][ 98.8419][  97.686][ 96.5345][ 95.3894][ 94.2528][ 93.1268][ 92.0132][ 90.9139][ 89.8308][ 88.7655][ 87.7196][ 86.6948][ 85.6923][ 84.7136][ 83.7599][ 82.8322][ 81.9315][ 81.0589][ 80.2151][ 79.4008][ 78.6167][ 77.8634][ 77.1413][ 76.4509][ 75.7924][ 75.1663][ 74.5727][ 74.0118][ 73.4839][ 72.9889][  72.527][ 72.0982][ 71.7026][ 71.3401][ 71.0109][ 70.7148][ 70.4518][  70.222][ 70.0252][ 69.8615][ 69.7308][ 69.6331][ 69.5685][ 69.5367][  69.538][ 69.5722][ 69.6393][ 69.7394][ 69.8725][ 70.0386][ 70.2377][ 70.4698][ 70.7349][ 71.0331][ 71.3644][ 71.7288][ 72.1262][ 72.5567][ 73.0202][ 73.5167][  74.046][ 74.6081][ 75.2028][ 75.8298][  76.489][   77.18][ 77.9026][ 78.6561][ 79.4403][ 80.2545][  81.098][ 81.9701][ 82.8701][ 83.7969][ 84.7496][  85.727][  86.728][ 87.7512][ 88.7951][ 89.8583][ 90.9392][  92.036][ 93.1469][ 94.2701][ 95.4036][ 96.5454][ 97.6935][ 98.8457][     100]
[     100][ 98.8861][ 97.7744][ 96.6667][  95.565][ 94.4714][ 93.3876][ 92.3156][  91.257][ 90.2136][ 89.1871][ 88.1789][ 87.1905][ 86.2233][ 85.2786][ 84.3575][ 83.4611][ 82.5905][ 81.7465][ 80.9299][ 80.1416][  79.382][ 78.6519][ 77.9517][ 77.2818][ 76.6427][ 76.0347][  75.458][ 74.9128][ 74.3994][ 73.9179][ 73.4684][  73.051][ 72.6657][ 72.3127][ 71.9918][ 71.7032][ 71.4469][ 71.2228][ 71.0309][ 70.8712][ 70.7438][ 70.6485][ 70.5854][ 70.5545][ 70.5557][ 70.5891][ 70.6547][ 70.7524][ 70.8823][ 71.0443][ 71.2385][ 71.4649][ 71.7234][ 72.0141][  72.337][  72.692][ 73.0791][ 73.4983][ 73.9494][ 74.4324][ 74.9471][ 75.4935][ 76.0713][ 76.6802][ 77.3201][ 77.9905][ 78.6912][ 79.4215][ 80.1811][ 80.9694][ 81.7857][ 82.6292][ 83.4992][ 84.3946][ 85.3147][ 86.2581][ 87.2238][ 88.2105][ 89.2168][ 90.2413][ 91.2824][ 92.3384][ 93.4078][ 94.4887][ 95.5792][ 96.6776][ 97.7818][   98.89][     100]
