[       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0]
[     100][ 94.3342][  88.765][  83.379][ 78.2458][ 73.4145][ 68.9141][ 64.7558][ 60.9373][ 57.4463][ 54.2643][ 51.3695][ 48.7384][ 46.3476][ 44.1747][ 42.1987][ 40.4003][ 38.7619][ 37.2677][ 35.9038][ 34.6576][  33.518][ 32.4751][ 31.5203][ 30.6458][ 29.8448][ 29.1114][ 28.4401][ 27.8263][ 27.2659][  26.755][ 26.2904][ 25.8694][ 25.4892][ 25.1478][  24.843][ 24.5733][ 24.3371][ 24.1331][ 23.9602][ 23.8176][ 23.7045][ 23.6203][ 23.5645][ 23.5369][ 23.5374][ 23.5659][ 23.6226][ 23.7078][ 23.8219][ 23.9654][ 24.1391][  24.344][ 24.5811][ 24.8516][ 25.1572][ 25.4994][ 25.8802][  26.302][ 26.7671][ 27.2786][ 27.8396][ 28.4539][ 29.1255][ 29.8593][ 30.6606][ 31.5353][ 32.4903][ 33.5333][ 34.6729][ 35.9191][ 37.2829][ 38.7768][  40.415][ 42.2131][ 44.1886][  46.361][ 48.7512][ 51.3817][ 54.2758][  57.457][ 60.9471][ 64.7647][ 68.9219][ 73.4212][ 78.2513][ 83.3832][ 88.7679][ 94.3357][     100]
[     100][ 94.8271][ 89.7286][ 84.7723][ 80.0151][ 75.4996][ 71.2539][ 67.2927][ 63.6198][ 60.2302][ 57.1129][  54.253][ 51.6334][ 49.2361][ 47.0432][ 45.0373][ 43.2018][ 41.5217][ 39.9829][ 38.5728][ 37.2799][ 36.0938][ 35.0053][ 34.0062][ 33.0891][ 32.2473][  31.475][ 30.7671][ 30.1188][ 29.5259][ 28.9849][ 28.4924][ 28.0456][ 27.6418][ 27.2789][ 26.9547][ 26.6676][  26.416][ 26.1987][ 26.0145][ 25.8624][ 25.7418][  25.652][ 25.5925][ 25.5631][ 25.5636][ 25.5941][ 25.6546][ 25.7454][ 25.8671][ 26.0201][ 26.2053][ 26.4236][ 26.6761][ 26.9641][ 27.2891][ 27.6529][ 28.0574][  28.505][ 28.9981][ 29.5397][ 30.1331][  30.782][ 31.4904][  32.263][ 33.1051][ 34.0225][ 35.0218][ 36.1104][ 37.2965][ 38.5894][ 39.9994][ 41.5379][ 43.2178][ 45.0528][ 47.0583][ 49.2507][ 51.6473][ 54.2662][ 57.1253][ 60.2418][ 63.6304][ 67.3023][ 71.2623][ 75.5069][ 80.0211][ 84.7769][ 89.7317][ 94.8287][     100]
[     100][ 95.2458][   90.55][  85.967][ 81.5432][ 77.3153][ 73.3096][  69.542][ 66.0197][ 62.7425][ 59.7048][  56.897][  54.307][ 51.9214][ 49.7259][ 47.7064][ 45.8493][ 44.1415][ 42.5708][  41.126][ 39.7967][ 38.5735][ 37.4477][ 36.4118][ 35.4586][  34.582][ 33.7762][ 33.0362][ 32.3576][ 31.7361][ 31.1683][ 30.6508][ 30.1808][ 29.7557][ 29.3732][ 29.0314][ 28.7285][ 28.4629][ 28.2334][ 28.0387][  27.878][ 27.7505][ 27.6555][ 27.5926][ 27.5615][ 27.5621][ 27.5943][ 27.6583][ 27.7544][  27.883][ 28.0448][ 28.2405][ 28.4711][ 28.7376][ 29.0415][ 29.3842][ 29.7675][ 30.1935][ 30.6642][ 31.1825][  31.751][  32.373][ 33.0523][ 33.7927][ 34.5989][ 35.4759][ 36.4293][ 37.4655][ 38.5913][ 39.8146][ 41.1439][ 42.5885][  44.159][ 45.8665][ 47.7232][ 49.7421][ 51.9371][ 54.3221][ 56.9113][ 59.7182][  62.755][ 66.0311][ 69.5523][ 73.3187][ 77.3231][ 81.5496][ 85.9719][ 90.5534][ 95.2475][     100]
[     100][ 95.6061][  91.259][ 87.0027][ 82.8756][ 78.9094][ 75.1277][ 71.5467][ 68.1751][ 65.0161][ 62.0676][ 59.3241][ 56.7774][ 54.4175][ 52.2336][ 50.2145][ 48.3488][ 46.6256][ 45.0344][ 43.5653][ 42.2091][ 40.9573][ 39.8021][ 38.7363][ 37.7535][ 36.8476][ 36.0134][  35.246][ 34.5411][ 33.8947][ 33.3033][ 32.7637][ 32.2732][  31.829][ 31.4292][ 31.0715][ 30.7543][ 30.4761][ 30.2355][ 30.0314][ 29.8628][  29.729][ 29.6293][ 29.5633][ 29.5306][ 29.5312][ 29.5651][ 29.6323][ 29.7331][ 29.8681][ 30.0379][ 30.2431][ 30.4848][ 30.7641][ 31.0823][ 31.4409][ 31.8418][ 32.2868][ 32.7782][ 33.3185][ 33.9106][ 34.5577][ 35.2632][ 36.0311][ 36.8657][  37.772][ 38.7551][ 39.8211][ 40.9764][ 42.2282][ 43.5843][ 45.0533][ 46.6443][ 48.3672][ 50.2324][ 52.2511][ 54.4343][ 56.7935][ 59.3394][  62.082][ 65.0295][ 68.1874][ 71.5577][ 75.1375][ 78.9178][ 82.8825][  87.008][ 91.2626][ 95.6079][     100]
[     100][ 95.9197][ 91.8775][ 87.9094][ 84.0477][ 80.3194][ 76.7458][ 73.3424][ 70.1189][   67.08][ 64.2265][ 61.5555][  59.062][ 56.7388][ 54.5779][ 52.5704][ 50.7072][ 48.9791][ 47.3773][ 45.8932][ 44.5187][ 43.2463][ 42.0688][ 40.9798][ 39.9732][ 39.0436][ 38.1859][ 37.3955][ 36.6683][ 36.0005][ 35.3888][   34.83][ 34.3214][ 33.8605][ 33.4452][ 33.0735][ 32.7436][ 32.4541][ 32.2035][ 31.9909][ 31.8153][ 31.6758][ 31.5719][  31.503][  31.469][ 31.4697][  31.505][ 31.5751][ 31.6802][  31.821][ 31.9978][ 32.2116][ 32.4633][  32.754][  33.085][ 33.4578][ 33.8741][ 34.3359][ 34.8453][  35.405][ 36.0175][ 36.6859][ 37.4138][ 38.2047][ 39.0629][ 39.9929][ 40.9998][  42.089][ 43.2666][ 44.5391][ 45.9135][ 47.3974][  48.999][ 50.7267][ 52.5895][ 54.5965][ 56.7567][ 59.0791][ 61.5718][ 64.2418][ 67.0942][ 70.1319][ 73.3542][ 76.7562][ 80.3283][  84.055][  87.915][ 91.8813][ 95.9216][     100]
[     100][ 96.1953][  92.422][ 88.7101][ 85.0867][ 81.5752][ 78.1944][  74.959][ 71.8787][ 68.9595][ 66.2037][ 63.6106][ 61.1773][ 58.8992][ 56.7702][ 54.7835][ 52.9319][ 51.2079][ 49.6041][ 48.1132][ 46.7281][ 45.4421][  44.249][ 43.1428][ 42.1181][ 41.1698][ 40.2932][  39.484][ 38.7383][ 38.0526][ 37.4236][ 36.8484][ 36.3243][  35.849][ 35.4202][ 35.0362][ 34.6951][ 34.3956][ 34.1363][ 33.9162][ 33.7342][ 33.5897][  33.482][ 33.4107][ 33.3754][ 33.3761][ 33.4127][ 33.4854][ 33.5944][ 33.7402][ 33.9235][ 34.1449][ 34.4054][ 34.7061][ 35.0483][ 35.4335][ 35.8633][ 36.3397][ 36.8647][ 37.4408][ 38.0706][  38.757][ 39.5033][ 40.3131][ 41.1902][  42.139][  43.164][ 44.2704][ 45.4637][ 46.7497][ 48.1347][ 49.6255][  51.229][ 52.9526][ 54.8037][ 56.7898][ 58.9181][ 61.1955][ 63.6278][ 66.2199][ 68.9746][ 71.8925][ 74.9715][ 78.2054][ 81.5846][ 85.0944][ 88.7161][ 92.4261][ 96.1974][     100]
[     100][ 96.4396][ 92.9054][ 89.4227][ 86.0143][ 82.7006][ 79.4985][ 76.4211][ 73.4784][ 70.6766][ 68.0192][  65.507][ 63.1388][ 60.9117][ 58.8214][ 56.8629][ 55.0306][ 53.3183][ 51.7199][ 50.2292][ 48.8402][ 47.5471][ 46.3443][ 45.2265][ 44.1888][ 43.2265][ 42.3353][ 41.5113][ 40.7508][ 40.0505][ 39.4072][ 38.8183][ 38.2811][ 37.7934][ 37.3532][ 36.9585][ 36.6078][ 36.2997][ 36.0327][  35.806][ 35.6185][ 35.4696][ 35.3586][ 35.2851][ 35.2487][ 35.2495][ 35.2872][ 35.3622][ 35.4746][ 35.6249][ 35.8137][ 36.0418][   36.31][ 36.6194][ 36.9714][ 37.3672][ 37.8085][ 38.2973][ 38.8354][ 39.4253][ 40.0694][ 40.7705][ 41.5317][ 42.3563][  43.248][ 44.2108][ 45.2488][ 46.3669][ 47.5698][  48.863][ 50.2519][ 51.7424][ 53.3405][ 55.0524][ 56.8843][ 58.8421][ 60.9317][ 63.1579][ 65.5252][ 68.0362][ 70.6924][ 73.4929][ 76.4343][ 79.5101][ 82.7106][ 86.0225][ 89.4289][ 92.9097][ 96.4418][     100]
[     100][ 96.6578][ 93.3377][ 90.0612][ 86.8478][ 83.7152][ 80.6784][ 77.7495][ 74.9379][ 72.2502][ 69.6905][ 67.2606][ 64.9605][ 62.7887][ 60.7424][ 58.8179][ 57.0108][ 55.3164][ 53.7297][ 52.2454][ 50.8585][ 49.5639][ 48.3568][ 47.2324][ 46.1863][ 45.2144][ 44.3127][ 43.4776][ 42.7056][ 41.9938][ 41.3391][  40.739][ 40.1911][ 39.6932][ 39.2434][ 38.8398][ 38.4809][ 38.1653][ 37.8919][ 37.6595][ 37.4673][ 37.3145][ 37.2007][ 37.1252][  37.088][ 37.0887][ 37.1275][ 37.2044][ 37.3197][ 37.4739][ 37.6676][ 37.9014][ 38.1762][ 38.4931][ 38.8532][  39.258][ 39.7091][ 40.2081][ 40.7571][ 41.3581][ 42.0137][ 42.7263][  43.499][ 44.3348][  45.237][ 46.2094][ 47.2558][ 48.3804][ 49.5878][ 50.8824][ 52.2692][ 53.7533][ 55.3398][ 57.0338][ 58.8403][ 60.7641][ 62.8097][ 64.9806][ 67.2797][ 69.7084][ 72.2669][ 74.9532][ 77.7633][ 80.6906][ 83.7256][ 86.8564][ 90.0678][ 93.3422][ 96.6601][     100]
[     100][  96.854][ 93.7268][ 90.6368][  87.601][ 84.6346][  81.751][ 78.9614][ 76.2745][ 73.6969][ 71.2331][ 68.8856][ 66.6553][ 64.5417][ 62.5431][  60.657][ 58.8801][ 57.2088][ 55.6389][ 54.1663][ 52.7865][ 51.4954][ 50.2887][ 49.1622][ 48.1121][ 47.1345][  46.226][ 45.3832][ 44.6031][ 43.8826][ 43.2192][ 42.6104][  42.054][ 41.5479][ 41.0902][ 40.6792][ 40.3136][ 39.9919][  39.713][ 39.4758][ 39.2796][ 39.1237][ 39.0074][ 38.9303][ 38.8923][ 38.8931][ 38.9327][ 39.0113][ 39.1291][ 39.2866][ 39.4843][ 39.7229][ 40.0033][ 40.3263][ 40.6933][ 41.1055][ 41.5645][ 42.0718][ 42.6293][ 43.2391][ 43.9034][ 44.6247][ 45.4057][ 46.2491][ 47.1582][ 48.1362][ 49.1867][ 50.3135][ 51.5204][ 52.8115][ 54.1912][ 55.6637][ 57.2332][ 58.9041][ 60.6805][ 62.5659][ 64.5637][ 66.6763][ 68.9056][ 71.2519][ 73.7144][ 76.2905][ 78.9759][ 81.7638][ 84.6455][   87.61][ 90.6438][ 93.7316][ 96.8564][     100]
[     100][ 97.0314][ 94.0791][ 91.1588][ 88.2852][ 85.4718][ 82.7305][ 80.0714][ 77.5028][  75.031][ 72.6606][ 70.3947][ 68.2348][ 66.1812][  64.233][ 62.3886][ 60.6458][ 59.0016][ 57.4529][ 55.9963][ 54.6281][ 53.3448][ 52.1426][ 51.0181][ 49.9677][ 48.9882][ 48.0763][  47.229][ 46.4435][ 45.7172][ 45.0476][ 44.4324][ 43.8695][ 43.3571][ 42.8933][ 42.4766][ 42.1055][ 41.7788][ 41.4955][ 41.2545][  41.055][ 40.8964][ 40.7781][ 40.6997][  40.661][ 40.6618][ 40.7021][ 40.7821][  40.902][ 41.0623][ 41.2633][ 41.5058][ 41.7907][ 42.1188][ 42.4913][ 42.9093][ 43.3744][ 43.8881][ 44.4521][ 45.0683][ 45.7389][ 46.4661][ 47.2524][ 48.1004][ 49.0129][ 49.9929][ 51.0437][ 52.1685][ 53.3708][ 54.6542][ 56.0223][ 57.4787][ 59.0271][ 60.6708][ 62.4131][ 64.2567][ 66.2041][ 68.2568][ 70.4156][ 72.6802][ 75.0492][ 77.5195][ 80.0865][ 82.7438][ 85.4832][ 88.2946][  91.166][ 94.0841][  97.034][     100]
